Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
1. Energy,WAM,ESR,22003.9,22083.0,20664.7,20513.7,20029.8,19083.7,18048.2,16947.1,15673.8,14042.2,13534.5,12913.4,12282.9,11631.3,10993.8,10244.9,9563.5,8884.1,8218.4,7667.1,7087.7,6552.7,6079.9,5689.2,5418.4,5075.2,5125.1,5071.0,5034.5,5122.9,21967.9261735332,22083.0153110458,20664.6741505281,20513.6914191202,20029.8180722579,19083.7167464219,18048.1633007818,16947.0761663623,15673.773668681,14042.1982249068,13534.4829303611,12913.4496818476,12282.8981322198,11631.2839449226,10993.8039841188,10244.9417932975,9563.50493233033,8884.10555118105,8218.37823829937,7667.10896936378,7087.71919273074,6552.65809176738,6079.87061471549,5689.21153316452,5418.37252466649,5075.18718069013,5125.11184505961,5071.00507093227,5034.49415722865,5122.90159164401
1. Energy,WAM,ETS,12947.0,12183.8,12165.9,11417.2,9999.4,9949.3,8975.7,8421.7,7313.1,6200.7,6534.6,5887.1,5897.7,6134.4,6582.1,6029.0,5736.1,5990.5,5563.7,4792.4,4531.6,4338.8,4564.7,4269.9,4614.8,3817.0,3836.0,3563.6,3726.0,3819.3,12982.9609938341,12183.8220257037,12165.8904814896,11417.214568843,9999.36235695565,9949.25305127857,8975.69911883472,8421.6999063688,7313.12327463031,6200.65055053923,6534.64861727338,5887.08070950058,5897.65086744574,6134.41626297008,6582.06482837027,6028.98998693397,5736.13998448112,5990.5181828725,5563.74165569825,4792.42240987679,4531.58462094902,4338.83901718131,4564.68340910733,4269.86676211779,4614.79835533768,3817.04375547902,3836.03589496939,3563.56225766071,3726.02327035531,3819.26702286087
1. Energy,WAM,Total,34970.2,34285.2,32848.0,31948.7,30046.3,29050.2,27041.2,25386.2,23004.4,20260.5,20086.8,18818.2,18198.2,17783.4,17593.5,16291.6,15317.3,14892.3,13799.8,12477.2,11637.0,10909.2,10662.2,9976.7,10050.8,8909.9,8978.8,8652.2,8778.2,8959.8,34970.1531876778,34285.2361777458,32848.0243669169,31948.7422971674,30046.3079390178,29050.1968974035,27041.1937774949,25386.2132448769,23004.4430419089,20260.508468772,20086.7912409604,18818.1900846742,18198.2086929915,17783.3599012187,17593.528505815,16291.5914735575,15317.3046101374,14892.2834273795,13799.7795873236,12477.1910725665,11636.9635070057,10909.1568022747,10662.2137171488,9976.73798860828,10050.8305733301,8909.89062949512,8978.80743335498,8652.22702191896,8778.17712090993,8959.82830783085
1. Energy,WEM,ESR,22003.9,22079.8,21276.2,21323.0,21030.6,20757.1,20434.3,20070.9,19651.0,19107.4,18751.9,18348.3,17884.4,17284.5,16641.8,16099.5,15660.7,15172.7,14713.1,14353.9,14013.3,13690.1,13408.2,13137.7,12944.6,12685.1,12469.6,12258.1,12064.9,12079.7,21967.9261735332,22079.8192273053,21276.1775083847,21323.0203564024,21030.5758750572,20757.0536423406,20434.2768833435,20070.860535812,19650.9925681537,19107.4299400359,18751.9141030281,18348.3093759799,17884.4286625744,17284.5327569461,16641.7554163429,16099.5326029861,15660.6928216679,15172.7090202893,14713.0524043773,14353.9494878739,14013.310815805,13690.1271446273,13408.2481911785,13137.6624221015,12944.5691628265,12685.0841679583,12469.6159573742,12258.0574894884,12064.9359132243,12079.6945767182
1. Energy,WEM,ETS,12947.0,12188.6,12592.7,12026.1,10786.9,10609.7,9748.1,9330.7,8673.2,7665.6,7742.3,7088.6,7190.0,7576.3,8355.1,7798.6,7709.4,8024.9,7757.4,7117.0,6935.0,6840.7,7339.1,7368.9,7494.6,6852.9,6934.8,6968.5,6993.6,7309.9,12982.9609938341,12188.6181595437,12592.6788413516,12026.0788851673,10786.8837261442,10609.6772270608,9748.08135015643,9330.666317884,8673.23241965755,7665.61171467211,7742.29130428305,7088.60664592085,7189.98495927391,7576.2831896675,8355.08788913584,7798.58905841709,7709.38217473436,8024.91303828219,7757.4012053873,7117.00671667127,6934.99068351257,6840.72264795383,7339.12167126134,7368.9300584258,7494.63066791626,6852.86524991756,6934.77599224018,6968.54971772939,6993.63961346658,7309.91826968946
1. Energy,WEM,Total,34970.2,34286.8,33886.3,33366.9,31834.6,31384.0,30199.7,29419.0,28341.8,26790.7,26511.9,25454.6,25092.1,24878.5,25014.5,23915.8,23387.7,23215.3,22488.1,21488.6,20966.0,20548.5,20765.0,20524.3,20456.9,19555.6,19422.1,19244.3,19076.2,19407.3,34970.1531876778,34286.8362278453,33886.3160846355,33366.9355507738,31834.5871110056,31383.9579691043,30199.6895913783,29418.9640258419,28341.7710864089,26790.701348034,26511.8651006372,25454.5757152267,25092.0733151743,24878.4756399396,25014.5029988047,23915.7813547292,23387.7346897283,23215.2817518975,22488.1133030906,21488.6158978711,20965.9611926435,20548.5094859071,20765.0295557659,20524.2521738533,20456.8595240687,19555.6091112019,19422.0516429403,19244.2669005438,19076.2352200169,19407.2725397336
1.A.1. Energy industries,WAM,ESR,692.2,705.8,787.3,797.6,797.1,803.8,791.0,765.9,715.6,627.4,581.8,566.3,547.5,547.6,538.3,542.2,526.2,518.2,500.9,487.9,486.5,485.7,491.1,489.4,495.5,485.3,485.3,482.4,484.3,486.7,656.265126459395,705.759354282691,787.324430392353,797.57648084317,797.051116423331,803.848576483953,791.039643691521,765.939965123406,715.575840538315,627.416492809804,581.772121081322,566.303254367369,547.484679687811,547.60402041428,538.302547876208,542.228386838801,526.152658787017,518.219147075399,500.880260469442,487.920816431608,486.498643306566,485.673633423772,491.078466263927,489.443614020799,495.470754328293,485.321579665319,485.276676943673,482.373153378435,484.340313823681,486.690199630712
1.A.1. Energy industries,WAM,ETS,9478.0,8858.6,8984.5,8283.7,6817.4,6755.1,5775.6,5239.3,4236.9,3502.9,3869.5,3270.2,3334.1,3594.0,4127.9,3673.1,3481.9,3844.8,3532.9,2883.1,2793.8,2772.5,3160.4,3026.0,3502.6,2761.4,2794.7,2555.0,2747.5,2917.5,9513.93726575179,8858.61122622421,8984.49272984356,8283.67623327468,6817.42753665358,6755.05755565835,5775.6001047823,5239.29000462348,4236.85085980172,3502.92474168251,3869.49785176607,3270.1571767497,3334.11901135569,3594.03707982283,4127.86652753794,3673.14421013727,3481.92970929521,3844.76045694182,3532.94546658262,2883.05033913281,2793.80945551296,2772.54379977057,3160.42308412983,3025.95468761754,3502.60463482361,2761.37624975904,2794.70403166111,2554.99388315251,2747.46318244343,2917.53363750999
1.A.1. Energy industries,WAM,Total,10170.2,9564.4,9771.8,9081.3,7614.5,7558.9,6566.6,6005.2,4952.4,4130.3,4451.3,3836.5,3881.6,4141.6,4666.2,4215.4,4008.1,4363.0,4033.8,3371.0,3280.3,3258.2,3651.5,3515.4,3998.1,3246.7,3280.0,3037.4,3231.8,3404.2,10170.2023922112,9564.3705805069,9771.81716023591,9081.25271411785,7614.47865307691,7558.9061321423,6566.63974847382,6005.22996974689,4952.42670034003,4130.34123449231,4451.26997284739,3836.46043111707,3881.6036910435,4141.64110023711,4666.16907541415,4215.37259697608,4008.08236808223,4362.97960401722,4033.82572705207,3370.97115556442,3280.30809881952,3258.21743319434,3651.50155039376,3515.39830163834,3998.0753891519,3246.69782942436,3279.98070860478,3037.36703653095,3231.80349626711,3404.2238371407
1.A.1. Energy industries,WEM,ESR,692.2,705.8,800.6,816.0,823.6,821.7,811.6,800.3,775.7,696.8,637.0,617.9,605.8,610.9,621.9,614.0,619.7,601.9,592.9,575.8,574.3,573.8,582.0,584.3,585.4,577.1,577.0,576.5,575.6,580.5,656.265126459395,705.759354282691,800.572275822282,816.037996114759,823.580479484659,821.715070121471,811.596168642475,800.290499055665,775.721815038684,696.79861687024,637.009298235954,617.949400039351,605.769453919724,610.884435258444,621.884585012303,614.022614989089,619.659173166133,601.948969584097,592.894912515842,575.794923934172,574.281320736875,573.82333751267,582.015165939565,584.297015643788,585.363541764158,577.120868339636,576.971917757183,576.481438049913,575.604790891453,580.541072269166
