Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050
1. Energy,WAM,ESR,1735.69671,1938.3776,1797.78909,1770.37702,1706.04191,1642.8447,1584.11974,1524.15511,1471.76795,1402.82976,1353.08201,1302.62917,1250.06754,1194.96172,1137.32716,1077.47828,1014.96469,950.22348,883.64953,815.56077,747.36788,679.33646,632.02258,590.63734,557.62769,524.3316,491.10304,458.02054,425.27137,397.70458
1. Energy,WAM,ETS,10.45364,10.6411,10.59138,10.53868,10.48896,10.43626,10.38355,10.33383,10.28113,10.23141,10.17871,10.12899,10.07628,10.02656,9.97386,9.92116,9.87144,9.81873,9.76901,9.71631,9.66455,9.60981,9.55507,9.50331,9.44857,9.39681,9.34207,9.29031,9.23557,9.18082
1. Energy,WAM,Total,1766.88576,1973.01493,1833.18737,1806.53294,1742.92988,1680.42161,1621.36993,1561.03026,1508.19867,1438.70499,1388.22895,1336.66046,1282.44021,1225.02927,1164.45368,1101.25028,1035.35829,967.60105,898.61179,828.73584,759.2933,690.41026,642.52276,600.75137,567.47224,533.9864,500.61415,467.42231,434.58092,406.93485
1. Energy,WEM,ESR,1735.69671,1938.3776,1801.88038,1780.555,1724.09605,1668.74858,1615.23195,1550.25277,1501.17498,1439.55273,1392.88325,1344.57583,1293.46107,1239.29187,1182.22804,1122.69197,1060.30631,995.55416,928.86969,860.59878,792.09191,723.45972,655.39848,592.23835,559.30051,526.07603,492.91878,459.90714,427.22809,399.73341
1. Energy,WEM,ETS,10.45364,10.6411,10.59138,10.53868,10.48896,10.43626,10.38355,10.33383,10.28113,10.23141,10.17871,10.12899,10.07628,10.02656,9.97386,9.92116,9.87144,9.81873,9.76901,9.71631,9.66455,9.60981,9.55507,9.50331,9.44857,9.39681,9.34207,9.29031,9.23557,9.18082
1. Energy,WEM,Total,1766.88576,1973.01493,1837.27866,1816.71092,1760.98403,1706.32549,1652.48214,1587.12792,1537.6057,1475.42797,1428.03019,1378.60712,1325.83373,1269.35942,1209.35456,1146.46398,1080.69991,1012.93173,943.83195,873.77384,804.01733,734.53352,665.89865,602.35239,569.14507,535.73083,502.42989,469.30891,436.53764,408.96367
1.A.1. Energy industries,WAM,ESR,2.56755,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033
1.A.1. Energy industries,WAM,Total,2.56755,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033
1.A.1. Energy industries,WEM,ESR,2.56755,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033
1.A.1. Energy industries,WEM,Total,2.56755,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033,3.18033
1.A.2. Manufacturing industries and construction,WAM,ESR,66.18669,141.38505,82.17323,80.29849,78.37655,76.38622,74.33683,72.22627,70.04147,67.78259,65.06204,62.62342,60.1085,57.52028,54.86905,52.98523,50.98569,48.88801,46.71261,44.49046,42.54012,40.6023,38.70984,36.88899,35.16096,33.53814,32.03293,30.64925,29.38333,28.23368
1.A.2. Manufacturing industries and construction,WAM,ETS,10.45364,10.6411,10.59138,10.53868,10.48896,10.43626,10.38355,10.33383,10.28113,10.23141,10.17871,10.12899,10.07628,10.02656,9.97386,9.92116,9.87144,9.81873,9.76901,9.71631,9.66455,9.60981,9.55507,9.50331,9.44857,9.39681,9.34207,9.29031,9.23557,9.18082
1.A.2. Manufacturing industries and construction,WAM,Total,76.64033,152.02616,92.76461,90.83717,88.86551,86.82247,84.72039,82.5601,80.3226,78.014,75.24074,72.75241,70.18479,67.54684,64.84291,62.90639,60.85713,58.70675,56.48163,54.20677,52.20467,50.21211,48.26491,46.3923,44.60953,42.93494,41.37499,39.93956,38.6189,37.41451
1.A.2. Manufacturing industries and construction,WEM,ESR,66.18669,141.38505,82.17323,80.29849,78.37655,76.38622,74.33683,72.22627,70.04147,67.78259,65.06204,62.62342,60.1085,57.52028,54.86905,52.98523,50.98569,48.88801,46.71261,44.49046,42.54012,40.6023,38.70984,36.88899,35.16096,33.53814,32.03293,30.64925,29.38333,28.23368
1.A.2. Manufacturing industries and construction,WEM,ETS,10.45364,10.6411,10.59138,10.53868,10.48896,10.43626,10.38355,10.33383,10.28113,10.23141,10.17871,10.12899,10.07628,10.02656,9.97386,9.92116,9.87144,9.81873,9.76901,9.71631,9.66455,9.60981,9.55507,9.50331,9.44857,9.39681,9.34207,9.29031,9.23557,9.18082
1.A.2. Manufacturing industries and construction,WEM,Total,76.64033,152.02616,92.76461,90.83717,88.86551,86.82247,84.72039,82.5601,80.3226,78.014,75.24074,72.75241,70.18479,67.54684,64.84291,62.90639,60.85713,58.70675,56.48163,54.20677,52.20467,50.21211,48.26491,46.3923,44.60953,42.93494,41.37499,39.93956,38.6189,37.41451
1.A.3. Transport,WAM,ESR,880.39082,950.4567,946.18199,925.4394,898.86576,860.55808,819.42334,784.54139,748.04054,704.59808,666.28341,626.30297,584.71694,541.67747,497.4242,451.97544,405.65926,359.035,312.25023,265.37709,219.64769,175.05271,151.99305,135.53994,119.72349,104.6169,90.20001,76.45903,63.38578,55.45712
