Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
1. Energy,WAM,ESR,213925.0,209282.575,204640.15,199997.725,195355.3,193631.68,191908.06,190184.44,188460.82,186737.2,184478.58,182219.96,179961.34,177702.72,175444.1,174928.62,174413.14,173897.66,173382.18,172866.7,172655.52,172444.34,172233.16,172021.98,171810.8,170438.42,169066.04,167693.66,166321.28,164948.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,WAM,ETS,117203.8,110318.675,103433.55,96548.425,89663.3,87689.94,85716.58,83743.22,81769.86,79796.5,77441.32,75086.14,72730.96,70375.78,68020.6,68184.98,68349.36,68513.74,68678.12,68842.5,68675.46,68508.42,68341.38,68174.34,68007.3,67558.76,67110.22,66661.68,66213.14,65764.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,WAM,Total,332832.1,321553.825,310275.55,298997.275,287719.0,284053.16,280387.32,276721.48,273055.64,269389.8,264618.92,259848.04,255077.16,250306.28,245535.4,245212.94,244890.48,244568.02,244245.56,243923.1,243477.12,243031.14,242585.16,242139.18,241693.2,239884.54,238075.88,236267.22,234458.56,232649.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,WEM,ESR,213925.0,209282.575,204640.15,199997.725,195355.3,193631.68,191908.06,190184.44,188460.82,186737.2,184478.58,182219.96,179961.34,177702.72,175444.1,174928.62,174413.14,173897.66,173382.18,172866.7,172655.52,172444.34,172233.16,172021.98,171810.8,170438.42,169066.04,167693.66,166321.28,164948.9,213924.98630495,195355.268744693,,,,,186737.248665141,,,,,175444.054818981,,,,,172866.667875014,,,,,171810.784067467,,,,,164948.932474575
1. Energy,WEM,ETS,117203.8,110318.675,103433.55,96548.425,89663.3,87689.94,85716.58,83743.22,81769.86,79796.5,77441.32,75086.14,72730.96,70375.78,68020.6,68184.98,68349.36,68513.74,68678.12,68842.5,68675.46,68508.42,68341.38,68174.34,68007.3,67558.76,67110.22,66661.68,66213.14,65764.6,117203.791124244,89663.3404608253,,,,,79796.4917886364,,,,,68020.6395892279,,,,,68842.4912570774,,,,,68007.2873142489,,,,,65764.6373237195
1. Energy,WEM,Total,332832.1,321553.825,310275.55,298997.275,287719.0,284053.16,280387.32,276721.48,273055.64,269389.8,264618.92,259848.04,255077.16,250306.28,245535.4,245212.94,244890.48,244568.02,244245.56,243923.1,243477.12,243031.14,242585.16,242139.18,241693.2,239884.54,238075.88,236267.22,234458.56,232649.9,332832.13235778,287718.960822783,,,,,269389.824715837,,,,,245535.422776668,,,,,243923.140815619,,,,,241693.175738722,,,,,232649.941675706
1.A.1. Energy industries,WAM,ESR,2457.6,1927.95,1398.3,868.65,339.0,333.8,328.6,323.4,318.2,313.0,303.9,294.8,285.7,276.6,267.5,268.38,269.26,270.14,271.02,271.9,272.12,272.34,272.56,272.78,273.0,270.86,268.72,266.58,264.44,262.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1. Energy industries,WAM,ETS,83970.4,78776.05,73581.7,68387.35,63193.0,62348.02,61503.04,60658.06,59813.08,58968.1,57142.2,55316.3,53490.4,51664.5,49838.6,49745.24,49651.88,49558.52,49465.16,49371.8,49397.1,49422.4,49447.7,49473.0,49498.3,49053.72,48609.14,48164.56,47719.98,47275.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1. Energy industries,WAM,Total,86428.0,80704.0,74980.0,69256.0,63532.0,62681.82,61831.64,60981.46,60131.28,59281.1,57446.1,55611.1,53776.1,51941.1,50106.1,50013.6,49921.1,49828.6,49736.1,49643.6,49669.12,49694.64,49720.16,49745.68,49771.2,49324.5,48877.8,48431.1,47984.4,47537.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1. Energy industries,WEM,ESR,2457.6,1927.95,1398.3,868.65,339.0,333.8,328.6,323.4,318.2,313.0,303.9,294.8,285.7,276.6,267.5,268.38,269.26,270.14,271.02,271.9,272.12,272.34,272.56,272.78,273.0,270.86,268.72,266.58,264.44,262.3,2457.61124366091,339.011451284685,,,,,313.006650882286,,,,,267.537062910604,,,,,271.86958904771,,,,,272.970828599762,,,,,262.297396618953
1.A.1. Energy industries,WEM,ETS,83970.4,78776.05,73581.7,68387.35,63193.0,62348.02,61503.04,60658.06,59813.08,58968.1,57142.2,55316.3,53490.4,51664.5,49838.6,49745.24,49651.88,49558.52,49465.16,49371.8,49397.1,49422.4,49447.7,49473.0,49498.3,49053.72,48609.14,48164.56,47719.98,47275.4,83970.3512482448,63192.9510157161,,,,,58968.0702175689,,,,,49838.5585356808,,,,,49371.7616280905,,,,,49498.2533502374,,,,,47275.3606978832
1.A.1. Energy industries,WEM,Total,86428.0,80704.0,74980.0,69256.0,63532.0,62681.82,61831.64,60981.46,60131.28,59281.1,57446.1,55611.1,53776.1,51941.1,50106.1,50013.6,49921.1,49828.6,49736.1,49643.6,49669.12,49694.64,49720.16,49745.68,49771.2,49324.5,48877.8,48431.1,47984.4,47537.7,86427.9624919057,63531.9624670007,,,,,59281.0768684511,,,,,50106.0955985914,,,,,49643.6312171382,,,,,49771.2241788371,,,,,47537.6580945021
1.A.2. Manufacturing industries and construction,WAM,ESR,22703.4,22269.075,21834.75,21400.425,20966.1,21079.44,21192.78,21306.12,21419.46,21532.8,21623.64,21714.48,21805.32,21896.16,21987.0,21849.26,21711.52,21573.78,21436.04,21298.3,21487.08,21675.86,21864.64,22053.42,22242.2,22366.24,22490.28,22614.32,22738.36,22862.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
