Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
1. Energy,WAM,ESR,8878.95524,9371.49201,9000.45871,8648.39137,8259.49519,7875.05963,7273.10402,6855.07148,6377.37497,5839.16794,5489.64327,5308.13557,5184.49262,5088.56854,5010.26852,4897.28278,4798.0933,4703.53284,4614.92843,4532.07696,4454.12305,4378.01474,4305.34213,4233.29316,4164.16672,4095.90731,4028.80284,3962.79172,3898.57068,3833.12804,8878.95523851303,9371.49200720624,9000.45871213657,8648.39137222237,8259.49518518889,7875.05963425449,7273.104018553,6855.07148155699,6377.37497483989,5839.16793854951,5489.64326725074,5308.13557313221,5184.49261611286,5088.56854148965,5010.26851506763,4897.2827793294,4798.09329865023,4703.53283810821,4614.92843381035,4532.07696466746,4454.12305464531,4378.01474328474,4305.34212794719,4233.29316090327,4164.1667178832,4095.90731094191,4028.80283825018,3962.79171533487,3898.57067901066,3833.12804373989
1. Energy,WAM,ETS,3382.11839,3371.14331,3068.21964,3095.73688,3124.81639,3080.30053,2846.65316,2890.37328,2787.27883,2734.06603,2729.61693,2728.08878,2726.57149,2725.06497,2723.56914,2722.08391,2720.6092,2719.14492,2717.69099,2716.24733,2713.61468,2712.19132,2710.77798,2709.37459,2707.98107,2706.59735,2705.22333,2703.85896,2702.50414,2701.15882,3382.11838548,3371.14331476644,3068.2196420942,3095.73688072837,3124.81638982357,3080.30053387635,2846.65315791406,2890.3732834659,2787.27883292846,2734.06603067782,2729.61693458572,2728.08878434935,2726.57149281096,2725.06497356315,2723.56914094204,2722.0839100205,2720.60919660145,2719.14491721119,2717.69098909286,2716.2473301999,2713.61468190142,2712.1913181285,2710.77798163885,2709.37459316318,2707.98107411085,2706.59734656371,2705.22333326999,2703.85895763828,2702.50414373154,2701.15881626118
1. Energy,WAM,Total,12263.27991,12744.71596,12070.76869,11746.21325,11386.40092,10957.45205,10121.85295,9747.54366,9166.75647,8575.33895,8221.38435,8038.36768,7913.2266,7815.81518,7736.0392,7621.5874,7520.94238,7424.93681,7334.89836,7250.62241,7170.02651,7092.49484,7018.4797,6945.02734,6874.50738,6804.93591,6736.52824,6669.15274,6603.57689,6536.77101,12263.279913993,12744.7159573727,12070.7686880308,11746.2132462337,11386.4009178395,10957.4520530418,10121.8529515241,9747.54366465189,9166.75647471235,8575.33895181533,8221.38435472447,8038.36768066957,7913.22660241182,7815.8151788408,7736.03919819767,7621.5874018379,7520.94237803968,7424.9368084074,7334.89836299122,7250.62240525537,7170.02651263472,7092.49483750124,7018.47969567404,6945.02734015445,6874.50737808205,6804.93591359361,6736.52823760817,6669.15273906115,6603.5768888302,6536.77100858907
1. Energy,WEM,ESR,8879.31333,9372.44656,9005.05293,8739.41395,8468.05718,8157.57621,7809.46522,7428.70634,6987.65695,6476.63595,6127.36146,5948.43612,5826.02816,5733.81013,5663.53117,5563.54375,5472.81934,5387.73478,5308.31183,5234.76211,5165.76769,5099.992,5036.62135,4975.57466,4916.1616,4858.64229,4802.61509,4748.12178,4695.35119,4642.47803,8879.31333058098,9372.44655563275,9005.0529337511,8739.4139517532,8468.05718103727,8157.57621285868,7809.4652220679,7428.70634161929,6987.65694662411,6476.63595368293,6127.36146181521,5948.43611641358,5826.02815895458,5733.81013264391,5663.53117365461,5563.54374613163,5472.81933680156,5387.73478135971,5308.31183214608,5234.76211154421,5165.76769177198,5099.9919994039,5036.62134860769,4975.57465774538,4916.1616018298,4858.64228858249,4802.61508619937,4748.12177626411,4695.35119217523,4642.47802808621
1. Energy,WEM,ETS,3382.11929,3371.14772,3085.13251,3130.21118,3201.44941,3181.39088,3043.49004,3123.12546,3053.33148,3026.15285,3030.67056,3029.36928,3028.0761,3026.77322,3025.27738,3023.79215,3022.31744,3020.85316,3019.39923,3017.95557,3015.31993,3013.89657,3012.48323,3011.07984,3009.68632,3008.3026,3006.92858,3005.56421,3004.20939,3002.86407,3382.11928548,3371.14771596634,3085.13250821683,3130.21117552354,3201.44940907121,3181.39088298417,3043.49004177243,3123.12545789209,3053.33147609435,3026.15284841962,3030.67055881673,3029.36928427303,3028.07610013764,3026.7732153553,3025.27738273419,3023.79215181265,3022.3174383936,3020.85315900334,3019.39923088501,3017.95557199205,3015.31993259356,3013.89656882065,3012.483232331,3011.07984385533,3009.686324803,3008.30259725586,3006.92858396214,3005.56420833043,3004.20939442369,3002.86406695333
1. Energy,WEM,Total,12263.63891,12745.67491,12092.27578,11871.72588,11671.61704,11341.08653,10855.08512,10553.97135,10043.13839,9504.94776,9160.21015,8980.0027,8856.32073,8762.81899,8691.06407,8589.61058,8497.43063,8410.90097,8330.04398,8255.06977,8183.43037,8116.23132,8051.51814,7989.06806,7928.26149,7869.43012,7812.09971,7756.24202,7702.11663,7647.88022,12263.638906061,12745.6749069991,12092.2757757679,11871.7258761774,11671.6170374064,11341.0865334411,10855.0851165383,10553.9713506091,10043.1383889165,9504.94775886536,9160.21014743468,8980.00269778428,8856.32072648729,8762.8189856992,8691.06407248879,8589.61058434428,8497.43063189516,8410.90096736305,8330.04397703109,8255.06976783626,8183.43037410054,8116.23131795954,8051.51814067368,7989.06806133571,7928.2614863678,7869.43011557334,7812.09970989651,7756.24202432954,7702.11662633391,7647.88021727453
1.A.1. Energy industries,WAM,ESR,329.59889,370.858,246.84091,238.9757,233.95593,225.2758,221.53923,217.01315,212.34236,208.13803,208.12852,208.12852,208.12852,208.12852,208.12852,208.12852,208.12852,208.12852,208.12852,208.12852,207.84337,207.84337,207.84337,207.84337,207.84337,207.84337,207.84337,207.84337,207.84337,207.84337,329.5988876101,370.857996021264,246.840909322135,238.97570141017,233.955926028527,225.275801888994,221.539228176226,217.013151154289,212.342364411007,208.138028174089,208.12852011461,208.12852011461,208.12852011461,208.12852011461,208.12852011461,208.12852011461,208.12852011461,208.12852011461,208.12852011461,208.12852011461,207.843367172785,207.843367172785,207.843367172785,207.843367172785,207.843367172785,207.843367172785,207.843367172785,207.843367172785,207.843367172785,207.843367172785
1.A.1. Energy industries,WAM,ETS,2447.28381,2481.34154,2214.44496,2230.26649,2210.60367,2226.30642,2120.68793,2153.94293,2086.278,2059.37937,2059.37937,2059.37937,2059.37937,2059.37937,2059.37937,2059.37937,2059.37937,2059.37937,2059.37937,2059.37937,2058.1772,2058.1772,2058.1772,2058.1772,2058.1772,2058.1772,2058.1772,2058.1772,2058.1772,2058.1772,2447.283809,2481.34154187463,2214.44495659255,2230.26648605071,2210.60367239547,2226.30642348025,2120.68793350272,2153.94293281886,2086.27800329672,2059.37936726203,2059.37936726203,2059.37936726203,2059.37936726203,2059.37936726203,2059.37936726203,2059.37936726203,2059.37936726203,2059.37936726203,2059.37936726203,2059.37936726203,2058.17719887385,2058.17719887385,2058.17719887385,2058.17719887385,2058.17719887385,2058.17719887385,2058.17719887385,2058.17719887385,2058.17719887385,2058.17719887385
1.A.1. Energy industries,WAM,Total,2776.8827,2852.19954,2461.28587,2469.24219,2444.5596,2451.58223,2342.22716,2370.95608,2298.62037,2267.5174,2267.50789,2267.50789,2267.50789,2267.50789,2267.50789,2267.50789,2267.50789,2267.50789,2267.50789,2267.50789,2266.02057,2266.02057,2266.02057,2266.02057,2266.02057,2266.02057,2266.02057,2266.02057,2266.02057,2266.02057,2776.8826966101,2852.1995378959,2461.28586591468,2469.24218746088,2444.559598424,2451.58222536924,2342.22716167895,2370.95608397315,2298.62036770773,2267.51739543612,2267.50788737664,2267.50788737664,2267.50788737664,2267.50788737664,2267.50788737664,2267.50788737664,2267.50788737664,2267.50788737664,2267.50788737664,2267.50788737664,2266.02056604664,2266.02056604664,2266.02056604664,2266.02056604664,2266.02056604664,2266.02056604664,2266.02056604664,2266.02056604664,2266.02056604664,2266.02056604664
1.A.1. Energy industries,WEM,ESR,329.64163,370.85999,246.85112,239.14149,238.74693,231.58283,229.33365,226.33914,223.08905,218.87907,218.91053,218.91607,218.92437,218.92991,218.92991,218.92991,218.92991,218.92991,218.92991,218.92991,218.64476,218.64476,218.64476,218.64476,218.64476,218.64476,218.64476,218.64476,218.64476,218.64476,329.641628195247,370.859992808226,246.85112052548,239.141490849749,238.746925259792,231.582825447479,229.33364816476,226.339143101117,223.089047799895,218.879073313011,218.91053140394,218.91606798834,218.92437285994,218.92990943434,218.92990943434,218.92990943434,218.92990943434,218.92990943434,218.92990943434,218.92990943434,218.644756704515,218.644756704515,218.644756704515,218.644756704515,218.644756704515,218.644756704515,218.644756704515,218.644756704515,218.644756704515,218.644756704515
