Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
1. Energy,WAM,ESR,7194.63968,6566.6825,6588.74468,6384.36328,6002.19528,5526.21293,4961.33665,4468.76228,4037.46099,3623.2598,3229.35513,2859.88787,2524.77436,2219.13092,1954.48342,1717.59306,1515.71611,1344.45511,1199.28349,1048.73988,947.30485,877.12283,815.62427,761.48534,691.11943,653.08486,619.13065,588.03878,558.66462,530.77961,7194.63967980088,6566.68250317837,6588.74468490604,6384.36328141531,6002.19527690658,5526.21293114461,4961.33664963771,4468.76227986732,4037.46098935279,3623.25979846037,3229.35512878379,2859.88786699405,2524.77435812094,2219.13091521471,1954.48341603993,1717.59306023498,1515.71611200414,1344.45511355131,1199.28349064096,1048.73988489268,947.304846198918,877.122828854823,815.624274230003,761.485342252626,691.119433773965,653.084862801335,619.13064768705,588.038777652384,558.664618809631,530.779608416417
1. Energy,WAM,ETS,843.94519,833.03017,788.82759,819.84762,809.86401,802.25895,790.74597,766.55138,748.12822,718.6471,681.90627,646.24347,673.74775,662.89838,417.97689,391.866,383.95786,359.26815,311.654,49.68525,46.16329,44.22338,43.88296,44.73048,31.79711,33.59887,35.48707,37.2004,38.99857,40.72004,843.945191724244,833.03016919205,788.827587944428,819.847615313769,809.864014798003,802.258953750564,790.74597187145,766.55137770042,748.128219516759,718.647097018274,681.906267490148,646.243473615513,673.747750238199,662.898381975596,417.97689139243,391.865996309791,383.957858308001,359.268145280344,311.653997183721,49.6852453312832,46.1632878359211,44.2233843302308,43.8829613490908,44.7304763828472,31.7971078911255,33.5988742717181,35.487072875517,37.2003998188434,38.9985721057139,40.7200385847141
1. Energy,WAM,Total,8039.18322,7400.28556,7378.14516,7204.78378,6812.63218,6329.04477,5752.65551,5235.88654,4786.16209,4342.47978,3911.83428,3506.70422,3199.09499,2882.60218,2373.03319,2110.03194,1900.24685,1704.29614,1511.51037,1098.99801,994.04102,921.9191,860.08012,806.7887,723.48943,687.25662,655.1906,625.81206,598.23607,572.07253,8039.18321859262,7400.28555635622,7378.14515683627,7204.78378071488,6812.63217569038,6329.04476888098,5752.65550549496,5235.88654155354,4786.16209285535,4342.47977946444,3911.83428025973,3506.70422459536,3199.09499234494,2882.6021811761,2373.03319141816,2110.03194053057,1900.24685429794,1704.29614281745,1511.51037181048,1098.99801420976,994.041018020639,921.919097170854,860.080119564894,806.788702621273,723.48942565089,687.256621058853,655.190604548367,625.812061457027,598.236074901145,572.072530986931
1. Energy,WEM,ESR,7194.63968,6610.18515,6715.94815,6736.75094,6656.64052,6529.31971,6400.47701,6184.14435,5966.26049,5759.72246,5559.32547,5370.93928,5190.73535,5020.00548,4856.75932,4703.58073,4561.30476,4427.0151,4301.68067,4183.54087,4072.33758,3971.87174,3876.38397,3785.0956,3696.41069,3611.78844,3529.73733,3449.62972,3370.20265,3293.20043,7194.63967980088,6610.18514632491,6715.94815303794,6736.75094165112,6656.64052076196,6529.31970885677,6400.47701135563,6184.1443486045,5966.26048669691,5759.72245519604,5559.32547143293,5370.93928356239,5190.73534691612,5020.00547520569,4856.75931527654,4703.58072796107,4561.30475707287,4427.01509982536,4301.68067088673,4183.54086667053,4072.33758321574,3971.87174241509,3876.38396801704,3785.09560256568,3696.41068845713,3611.78844499151,3529.73732537552,3449.62972045561,3370.20265245618,3293.20043147522
1. Energy,WEM,ETS,843.94519,836.11395,828.37409,820.77713,898.73886,943.87974,933.331,922.95473,912.76442,902.77361,892.87928,883.0846,873.39244,863.8054,854.32581,844.95578,835.69714,826.55155,817.52042,808.60499,799.80631,793.95684,788.22571,782.61347,777.12053,771.74719,766.49358,761.35975,756.34561,751.45099,843.945191724244,836.11395131053,828.374092880845,820.77712622434,898.738862596792,943.879736308115,933.330996288014,922.954731054027,912.764419898947,902.773610924727,892.879280866021,883.08459796301,873.3924374416,863.805397544713,854.325814803974,844.955778585376,835.69714494108,826.551549798068,817.52042151312,808.604992822258,799.806312211597,793.956842567598,788.225707970388,782.613466975734,777.120534086253,771.74718859445,766.493582986037,761.359750923288,756.345614827315,751.450993077348
1. Energy,WEM,Total,8039.18322,7446.87198,7544.89513,7558.10095,7555.95227,7473.77233,7334.38089,7107.67196,6879.59779,6663.06895,6452.77764,6254.59677,6064.70067,5884.38376,5711.65801,5549.10939,5397.57479,5254.13953,5119.77398,4992.71874,4872.71678,4766.40147,4665.18256,4568.28195,4474.10411,4384.10852,4296.80379,4211.56236,4127.12115,4045.22431,8039.18321859262,7446.87198162123,7544.89512990459,7558.10095186126,7555.95226734456,7473.77232915068,7334.38089162945,7107.67196364433,6879.59779058166,6663.06895010657,6452.77763628475,6254.5967655112,6064.70066834352,5884.3837567362,5711.65801406631,5549.10939053224,5397.57478599975,5254.13953360923,5119.77397638565,4992.71874347858,4872.71677941314,4766.40146896849,4665.18255997323,4568.28195352722,4474.10410652918,4384.10851757176,4296.80379234735,4211.5623553647,4127.12115126929,4045.22430853837
1.A.1. Energy industries,WAM,ESR,165.25937,157.51417,149.78421,141.27527,133.22031,125.43184,117.83807,110.15921,102.67068,96.85158,91.09612,85.37409,84.67921,83.91545,90.71739,92.34696,93.97371,95.59154,97.19731,98.78889,100.36402,101.92113,103.46162,104.98402,106.48682,107.96854,109.42769,110.86279,112.27237,113.65496,165.259365395963,157.514166025453,149.784208009779,141.275269552633,133.220312587977,125.431835757836,117.838070616587,110.159208052239,102.670682550075,96.8515807545706,91.0961226212451,85.3740925439717,84.6792139408448,83.9154451661565,90.7173854859434,92.3469562086423,93.9737089294785,95.5915404132166,97.1973100600993,98.7888929416994,100.364018977981,101.921126000272,103.46162245567,104.984018240808,106.486821854773,107.968542763825,109.427693800874,110.86279359448,112.272369022015,113.654957681433
1.A.1. Energy industries,WAM,ETS,56.74554,51.53475,46.33507,41.18673,36.03839,30.89005,25.74171,20.59337,15.44502,10.29668,5.14834,,,,,,,,,,,,,,,,,,,,56.745542034333,51.5347513061835,46.3350736178226,41.1867321047313,36.0383905916398,30.8900490785484,25.741707565457,20.5933660523656,15.4450245392742,10.2966830261828,5.14834151309141,,,,,,,,,,,,,,,,,,,
1.A.1. Energy industries,WAM,Total,222.00491,209.04892,196.11928,182.462,169.2587,156.32188,143.57978,130.75257,118.11571,107.14826,96.24446,85.37409,84.67921,83.91545,90.71739,92.34696,93.97371,95.59154,97.19731,98.78889,100.36402,101.92113,103.46162,104.98402,106.48682,107.96854,109.42769,110.86279,112.27237,113.65496,222.004907430296,209.048917331637,196.119281627602,182.462001657364,169.258703179617,156.321884836384,143.579778182045,130.752574104604,118.115707089349,107.148263780753,96.2444641343365,85.3740925439717,84.6792139408448,83.9154451661565,90.7173854859434,92.3469562086423,93.9737089294785,95.5915404132166,97.1973100600993,98.7888929416994,100.364018977981,101.921126000272,103.46162245567,104.984018240808,106.486821854773,107.968542763825,109.427693800874,110.86279359448,112.272369022015,113.654957681433
1.A.1. Energy industries,WEM,ESR,165.25937,161.12826,157.0124,152.96695,148.92149,144.87604,140.83058,136.78512,132.83536,131.04641,128.70623,126.36418,124.0086,121.62898,119.2166,116.7639,114.2655,111.71497,109.10932,106.44682,103.72566,104.00157,104.22001,104.38014,104.48121,104.52256,104.50358,104.42378,104.28271,104.08005,165.259365395963,161.128262417993,157.012400745517,152.966945581532,148.921490417547,144.876035253563,140.830580089578,136.785124925593,132.835358582821,131.046407071658,128.706232993478,126.364182123338,124.008598469145,121.628980384911,119.216602312033,116.763899534456,114.265500135217,111.714967519887,109.10932385236,106.44681861843,103.72566248553,104.001570573644,104.220005538991,104.380137758176,104.481214211953,104.522560865892,104.503584898606,104.423776769471,104.2827121181,104.080053488327
