Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
1. Energy,WAM,ESR,5571.3,5592.9,5581.5,5589.6,5516.5,5492.5,5489.1,5471.9,5395.4,5184.6,4782.1,4608.8,4438.0,4285.7,4290.9,3855.7,3807.4,3740.2,3659.5,3566.3,3505.5,3446.8,3366.5,3060.5,3085.0,2941.0,2945.6,2908.6,2866.9,2912.7,5571.31548487233,5592.92670722922,5581.52307215976,5589.64533900834,5516.50113367758,5492.45201475584,5489.08996878243,5471.90224218434,5395.38456408802,5184.63758724985,4782.09876513069,4608.77575214432,4438.04443098311,4285.74565317794,4290.87456203084,3855.66843164698,3807.3527474129,3740.18187525133,3659.48746010499,3566.33084761216,3505.54450561687,3446.75688007027,3366.50989404531,3060.54814650961,3085.03050192777,2940.99959845433,2945.61431483129,2908.62121202488,2866.90806036825,2912.73433693528
1. Energy,WAM,ETS,1443.5,1160.3,1130.1,1156.1,1200.1,1140.0,1145.2,1122.2,1142.4,1127.9,625.0,593.1,497.7,482.8,442.1,438.4,381.3,355.1,340.4,295.5,302.1,324.4,354.0,352.4,251.4,348.1,355.0,353.5,352.2,215.5,1443.54558840453,1160.33598907087,1130.06267989044,1156.11247485102,1200.14618192634,1139.95701905509,1145.18872271791,1122.2274727327,1142.39913916282,1127.93976205123,625.03256615923,593.14981531537,497.689410512009,482.800592781377,442.058872602436,438.365837272938,381.269791395326,355.083978720625,340.396819982558,295.486606364257,302.10532273628,324.408126131959,353.966649329811,352.375633463006,251.440623098735,348.057654934673,354.969680045086,353.465177653423,352.160442652612,215.462871972355
1. Energy,WAM,Total,7019.1,6756.4,6714.7,6748.9,6719.9,6635.6,6637.5,6597.4,6541.1,6315.9,5410.5,5205.3,4939.2,4772.0,4736.4,4297.6,4192.2,4098.8,4003.5,3865.5,3811.3,3774.8,3724.2,3416.6,3340.2,3292.8,3304.4,3265.9,3222.9,3132.0,7019.05857327686,6756.35824867971,6714.7157716231,6748.92742989902,6719.85430284722,6635.64734642108,6637.54719241007,6597.4272450103,6541.11034887748,6315.93319556025,5410.51627400327,5205.33960662722,4939.17697711683,4772.01847803522,4736.43476316336,4297.56220114806,4192.17707473442,4098.84699359622,4003.49202340987,3865.45180099679,3811.3061975011,3774.84339747774,3724.1769567782,3416.64621550326,3340.21558268473,3292.8189795142,3304.36298946854,3265.88265273745,3222.88203454698,3132.02800890072
1. Energy,WEM,ESR,5571.3,5592.9,5580.4,5587.2,5517.0,5481.3,5472.6,5464.6,5389.1,5185.6,4785.0,4607.2,4444.5,4288.6,4261.8,3859.8,3805.7,3733.4,3660.2,3571.4,3488.4,3423.3,3339.3,3034.1,3032.3,2949.9,2907.3,2840.1,2792.4,2680.6,5571.31548487233,5592.89895824246,5580.36737723327,5587.21550660185,5517.04094486384,5481.34712079083,5472.55278677824,5464.63861621831,5389.08110378151,5185.62322274327,4784.95329969879,4607.18978970974,4444.45872664379,4288.63202298557,4261.78211989233,3859.83527344054,3805.67380225385,3733.42320136659,3660.16413412229,3571.39192862081,3488.44916382523,3423.3300984705,3339.3058044987,3034.14599858195,3032.27341521823,2949.88181295175,2907.33785596411,2840.14871500047,2792.40895750288,2680.5888954995
1. Energy,WEM,ETS,1443.5,1160.3,1122.3,1151.6,1197.3,1147.4,1159.1,1121.0,1141.8,1120.4,624.8,605.2,506.7,496.2,493.3,460.8,392.2,356.8,377.6,360.2,358.3,356.3,429.0,428.0,424.1,423.3,420.8,419.1,417.4,415.1,1443.54558840453,1160.34166447911,1122.32242656983,1151.56422479051,1197.25144504149,1147.37028441992,1159.06138676988,1120.98445712469,1141.83979854068,1120.40372894132,624.802424825223,605.162082757898,506.69244220022,496.180851240797,493.320416366086,460.798081510813,392.223931129852,356.792338658268,377.584164230547,360.233501403418,358.326208014977,356.344219400505,429.036287230081,428.038489276073,424.109486614095,423.280586658472,420.780070190702,419.0670582381,417.408503101403,415.064237448201
1. Energy,WEM,Total,7019.1,6756.3,6705.8,6741.9,6717.5,6632.0,6634.9,6588.9,6534.2,6309.4,5413.1,5215.8,4954.6,4788.3,4758.6,4324.2,4201.5,4093.8,4041.4,3935.3,3850.4,3783.4,3772.0,3465.9,3460.1,3376.9,3331.9,3263.0,3213.6,3099.5,7019.05857327686,6756.33617510118,6705.81982337601,6741.94934743202,6717.49937714863,6631.9557178209,6634.88267445783,6588.92060343626,6534.24754794883,6309.38279794376,5413.14066723737,5215.76591163517,4954.59430446573,4788.28510630227,4758.6038647885,4324.16128717949,4201.4522693099,4093.79667964911,4041.35604167515,3935.2597770446,3850.43174098815,3783.35270914652,3772.04250513187,3465.90692338868,3460.12735949054,3376.92412573542,3331.89692074697,3263.01203629771,3213.6309921304,3099.48393294079
1.A.1. Energy industries,WAM,ESR,330.7,453.5,436.7,430.9,407.3,408.4,409.5,410.4,410.9,393.9,291.8,289.6,278.0,278.2,274.7,243.2,272.8,268.0,229.3,222.8,212.0,204.1,198.4,194.6,184.2,178.9,173.8,167.9,166.0,154.0,330.686399252373,453.463383413756,436.671887054476,430.879599117314,407.347130458719,408.360835281361,409.503514556891,410.394021136772,410.888277066562,393.930623294211,291.763112296528,289.579290994665,278.008040283119,278.181932427708,274.662720933851,243.169204969628,272.825091547922,267.961441770453,229.264725543959,222.796626869868,211.981415079813,204.078633515731,198.443756076549,194.582760442739,184.232329089466,178.92510488382,173.807613538829,167.909803615835,165.974943948507,153.995897664594
1.A.1. Energy industries,WAM,ETS,1168.1,897.3,870.2,935.4,973.1,907.9,906.5,872.1,876.1,864.9,376.7,353.7,258.0,246.9,225.9,220.4,208.9,185.1,172.3,131.8,136.8,160.4,191.3,191.0,153.5,190.1,199.1,198.9,198.8,136.5,1168.11364723956,897.34674163098,870.230236322342,935.444124808566,973.069455387686,907.853601621283,906.529698869038,872.117412346159,876.127998706646,864.883724975387,376.698736433805,353.729235370175,258.04532177773,246.872047151757,225.862040338388,220.364336126845,208.911034886934,185.137821997763,172.255142457037,131.84849722653,136.831953091919,160.447236075553,191.333203155169,191.009273285928,153.539024442157,190.084803346832,199.101082768012,198.88366148964,198.824371190452,136.529088426915
1.A.1. Energy industries,WAM,Total,1498.8,1350.8,1306.9,1366.3,1380.4,1316.2,1316.0,1282.5,1287.0,1258.8,668.5,643.3,536.1,525.1,500.5,463.5,481.7,453.1,401.5,354.6,348.8,364.5,389.8,385.6,337.8,369.0,372.9,366.8,364.8,290.5,1498.80004649193,1350.81012504474,1306.90212337682,1366.32372392588,1380.41658584641,1316.21443690264,1316.03321342593,1282.51143348293,1287.01627577321,1258.8143482696,668.461848730334,643.30852636484,536.053362060849,525.053979579465,500.524761272239,463.533541096474,481.736126434855,453.099263768216,401.519868000996,354.645124096398,348.813368171733,364.525869591285,389.776959231718,385.592033728667,337.771353531623,369.009908230652,372.90869630684,366.793465105475,364.799315138959,290.524986091509
1.A.1. Energy industries,WEM,ESR,330.7,453.5,436.0,431.3,407.3,408.6,409.8,408.7,411.1,394.1,291.9,289.9,286.7,282.6,249.4,249.5,273.7,266.2,233.8,230.4,221.0,208.6,201.7,196.9,188.4,181.3,178.4,176.0,174.0,170.5,330.686399252373,453.455494797104,436.021078834203,431.286533099994,407.325019002129,408.626801147686,409.788402781366,408.741147478661,411.096370935582,394.131503031334,291.912216510411,289.895157453153,286.728032242026,282.56812998136,249.432290752896,249.494322351671,273.669115723568,266.22300002863,233.82474356881,230.448644121384,221.040682598379,208.643616380835,201.718712846102,196.882097746454,188.382932108983,181.33770871636,178.401872409523,176.008251983826,174.04353368927,170.514867900102
