Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
1. Energy,WAM,ESR,840.41534,842.48015,843.85754,843.50155,840.90916,850.75376,836.57728,843.32885,847.27112,850.57619,853.4862,856.3962,859.3062,862.2162,864.60733,855.9845,847.36166,838.73883,830.11599,821.49316,846.34131,846.32917,846.31702,846.30487,846.29272,846.28058,846.26843,846.25628,846.24413,846.23199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,WAM,ETS,785.11606,792.6407,799.2632,856.91231,1007.83425,1017.47952,1024.52905,1036.86316,1041.22785,1046.65825,1055.46696,1064.27566,1073.08437,1081.89307,1090.70177,1097.7277,1104.75363,1111.77955,1118.80548,1125.83141,1192.19359,1208.91277,1225.63195,1242.35113,1259.07031,1275.78949,1292.50867,1309.22785,1325.94703,1342.66621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,WAM,Total,1627.45892,1637.13054,1645.16778,1702.49826,1850.85119,1870.36438,1863.26082,1882.36203,1890.68457,1899.43564,1911.1523,1922.86895,1934.58561,1946.30226,1957.50005,1955.90759,1954.31514,1952.72268,1951.13023,1949.53777,2040.80095,2057.51897,2074.23698,2090.95499,2107.673,2124.39101,2141.10902,2157.82703,2174.54504,2191.26306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,WEM,ESR,840.41534,842.48015,843.85754,843.50155,840.90916,850.75376,836.57728,843.32885,847.27112,850.57619,853.4862,856.3962,859.3062,862.2162,864.60733,855.9845,847.36166,838.73883,830.11599,821.49316,846.34131,846.32917,846.31702,846.30487,846.29272,846.28058,846.26843,846.25628,846.24413,846.23199,840.415344682921,842.480154638734,843.857537282581,843.501546826421,840.909155648612,850.753757859916,836.577284963386,843.328850693961,847.271115764549,850.576193382408,853.486195508514,856.39620000462,859.306202130726,862.216203976831,864.607334089896,855.984498966555,847.361664123215,838.738828999875,830.115993876535,821.493159033194,846.341313296886,846.329167488191,846.317018749498,846.304872660803,846.29272420211,846.280578113416,846.268429374722,846.256283566027,846.244134827334,846.23198901864
1. Energy,WEM,ETS,785.11606,792.6407,799.2632,856.91231,1007.83425,1017.47952,1024.52905,1036.86316,1041.22785,1046.65825,1055.46696,1064.27566,1073.08437,1081.89307,1090.70177,1097.7277,1104.75363,1111.77955,1118.80548,1125.83141,1192.19359,1208.91277,1225.63195,1242.35113,1259.07031,1275.78949,1292.50867,1309.22785,1325.94703,1342.66621,785.116062347283,792.640703674378,799.263204545339,856.912307261426,1007.83424608097,1017.47951735537,1024.52904919707,1036.86316274727,1041.22785381707,1046.65825473865,1055.46695852946,1064.27566232027,1073.08436611108,1081.89306990189,1090.7017736927,1097.72770043616,1104.75362717963,1111.77955392309,1118.80548066655,1125.83140741001,1192.19359094409,1208.91277121526,1225.63195148643,1242.3511317576,1259.07031202877,1275.78949229995,1292.50867257112,1309.22785284229,1325.94703311347,1342.66621338463
1. Energy,WEM,Total,1627.45892,1637.13054,1645.16778,1702.49826,1850.85119,1870.36438,1863.26082,1882.36203,1890.68457,1899.43564,1911.1523,1922.86895,1934.58561,1946.30226,1957.50005,1955.90759,1954.31514,1952.72268,1951.13023,1949.53777,2040.80095,2057.51897,2074.23698,2090.95499,2107.673,2124.39101,2141.10902,2157.82703,2174.54504,2191.26306,1627.4589215202,1637.13053571311,1645.16778222792,1702.49825748785,1850.85118675958,1870.36438237528,1863.26082294045,1882.36203048123,1890.68457437162,1899.43564066105,1911.15229594797,1922.86895360489,1934.58560889181,1946.30226389872,1957.5000471826,1955.90759159272,1954.31513629284,1952.72268071296,1951.13022512309,1949.53776982321,2040.80095255097,2057.51896531345,2074.23697514593,2090.95498762841,2107.67299774088,2124.39101022336,2141.10902005584,2157.82703281832,2174.5450426508,2191.26305541327
1. Energy,WOM,ESR,902.30045,917.54688,930.86289,943.99484,955.96499,968.10971,978.22774,987.1143,995.6363,1004.36179,1004.36178,1004.36177,1004.36176,1004.36175,1012.9726,1012.97262,1012.97265,1012.97268,1012.9727,1012.63283,1040.583,1045.97632,1051.36964,1056.76296,1062.15628,1067.5496,1072.94291,1078.33623,1083.72955,1089.12287,902.300446807207,917.546877263655,930.862894384262,943.994836243081,955.964985857394,968.109712315737,978.227739599455,987.114298099663,995.636299416163,1004.3617935337,1004.3617809537,1004.3617707437,1004.3617581637,1004.3617453037,1012.97259612814,1012.97262268814,1012.97264952814,1012.97267608814,1012.97270264814,1012.63283014313,1040.5829998087,1045.97632036563,1051.36963799256,1056.76295826948,1062.15627617641,1067.54959645334,1072.94291408027,1078.3362346372,1083.72955226413,1089.12287282106
1. Energy,WOM,ETS,785.11606,792.6407,799.2632,803.26716,954.1891,963.83437,970.88391,983.21802,987.58271,993.01311,993.01311,993.01311,993.01311,993.01311,1037.05663,1037.05663,1037.05663,1037.05663,1037.05663,1072.18626,1105.28138,1118.81994,1132.3585,1145.89706,1159.43561,1172.97417,1186.51273,1200.05129,1213.58985,1227.12841,785.116062347283,792.640703674378,799.263204545339,803.267164447199,954.189103266745,963.834374541142,970.88390638284,983.218019933041,987.582711002846,993.013111924421,993.013111924421,993.013111924421,993.013111924421,993.013111924421,1037.05663087847,1037.05663087847,1037.05663087847,1037.05663087847,1037.05663087847,1072.18626459579,1105.28137940655,1118.81993826074,1132.35849711493,1145.89705596912,1159.43561482331,1172.9741736775,1186.51273253169,1200.05129138588,1213.58985024007,1227.12840909426
1. Energy,WOM,Total,1689.34402,1712.19726,1732.17314,1749.3464,1912.26187,1934.07519,1951.26613,1972.50234,1985.40462,1999.5761,1999.57403,1999.57197,1999.56991,1999.56785,2052.22017,2052.22465,2052.22913,2052.2336,2052.23808,2087.0323,2148.13043,2167.07329,2186.01614,2204.959,2223.90185,2242.84471,2261.78756,2280.73042,2299.67328,2318.61613,1689.34402364449,1712.19725833803,1732.1731393296,1749.34640409028,1912.26187415414,1934.07519401688,1951.26613476229,1972.5023350727,1985.40461520901,1999.57609799812,1999.57403478812,1999.57197394812,1999.56991073812,1999.56784724812,2052.22016640662,2052.22464575662,2052.22912539662,2052.23360475662,2052.23808410662,2087.03229811892,2148.13042752525,2167.07328523637,2186.01614001748,2204.9589974486,2223.90185250972,2242.84470994084,2261.78756472196,2280.73042243308,2299.6732772142,2318.61613492531
1.A.1. Energy industries,WAM,ESR,3.47333,3.50662,3.53592,4.07697,4.74464,4.78731,4.8185,4.87306,4.89237,4.9164,4.95537,4.99434,5.03331,5.07227,5.11124,5.14233,5.17341,5.20449,5.23557,5.26666,5.6325,5.71743,5.80236,5.88729,5.97223,6.05716,6.14209,6.22703,6.31196,6.39689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
