Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040,Reported Value 2045,Reported Value 2050
1. Energy,WAM,ESR,65933.37715,65731.49271,65529.60827,65327.72382,65125.83938,63524.09884,61922.35831,60320.61778,58718.87724,57117.13671,56050.61425,54984.0918,53917.56934,52851.04689,51784.52443,50225.26342,48666.00241,47106.74139,45547.48038,43988.21937,42208.4202105289,40428.6210710578,38648.8219215868,36869.0227821157,35089.2236326446,34842.434846181,34595.6460597173,34348.8572732537,34102.0684867901,33855.2797003265,65125.8393772651,57117.1367068361,51784.5244309973,43988.2193664539,,
1. Energy,WAM,ETS,67709.47829,66622.33116,65535.18403,64448.03689,63360.88976,58168.017,52975.14423,47782.27147,42589.3987,37396.52594,36851.58198,36306.63801,35761.69405,35216.75009,34671.80612,34719.47297,34767.13982,34814.80667,34862.47352,34910.14037,33758.7848127921,32607.4292655853,31456.0737183784,30304.7181611705,29153.3626139636,28850.4411502504,28547.5196865372,28244.5982228239,27941.6767591107,27638.7552953974,63360.889761479,37396.5259388165,34671.8061248369,34910.1403715106,,
1. Energy,WAM,Total,133668.51303,132381.17622,131093.83942,129806.50261,128519.1658,121724.36172,114929.55763,108134.75355,101339.94947,94545.14539,92933.61328,91322.08117,89710.54906,88099.01695,86487.48484,84975.83823,83464.19161,81952.545,80440.89839,78929.25177,75950.2229346413,72971.1940996105,69992.1652545787,67013.13641922,64034.1075741882,63490.6531041935,62947.1986341987,62403.744164204,61860.2896942093,61316.8352242145,128519.165798865,94545.1453875694,86487.4848390773,78929.2517738154,,
1. Energy,WEM,ESR,65947.86532,65760.46905,65573.07277,65385.6765,65198.28022,63755.55901,62312.8378,60870.11659,59427.39538,57984.67417,57188.27847,56391.88278,55595.48708,54799.09139,54002.69569,52901.28698,51799.87826,50698.46955,49597.06084,48495.65213,46536.8597,44578.06728,42619.27485,40660.48243,38701.69,38427.938,38154.186,37880.434,37606.682,37332.93,65198.2802223904,57984.6741703625,54002.6956891833,48495.6521262633,38701.69,37332.93
1. Energy,WEM,ETS,67701.28852,66605.95161,65510.6147,64415.27779,63319.94088,57996.47266,52673.00443,47349.5362,42026.06797,36702.59974,36048.27023,35393.94072,34739.61121,34085.2817,33430.95219,33330.84161,33230.73104,33130.62046,33030.50989,32930.39931,31829.44345,30728.48759,29627.53172,28526.57586,27425.62,27138.76,26851.9,26565.04,26278.18,25991.32,63319.9408827816,36702.5997448581,33430.9521894273,32930.3993117461,27425.62,25991.32
1. Energy,WEM,Total,133674.81143,132393.77301,131112.7346,129831.69618,128550.65777,121784.27754,115017.89732,108251.5171,101485.13688,94718.75666,93267.96576,91817.17486,90366.38396,88915.59306,87464.80216,86263.23042,85061.65869,83860.08695,82658.51521,81456.94347,78391.00078,75325.05808,72259.11539,69193.17269,66127.23,65566.632,65006.034,64445.436,63884.838,63324.24,128550.657765293,94718.7566571375,87464.8021618537,81456.9434738603,66127.23,63324.24
1.A.1. Energy industries,WAM,ESR,2092.474,2451.36676,2810.25951,3169.15227,3528.04503,3290.12481,3052.20458,2814.28436,2576.36414,2338.44392,2227.48102,2116.51812,2005.55522,1894.59232,1783.62942,1757.82709,1732.02476,1706.22243,1680.4201,1654.61777,1588.91175112271,1523.20573224541,1457.49971336812,1391.79369449082,1326.08767561353,1316.18984362577,1306.29201163801,1296.39417965025,1286.49634766249,1276.59851567474,3528.04502773194,2338.4439181777,1783.62942028336,1654.61777155022,,
1.A.1. Energy industries,WAM,ETS,44494.54327,42901.83087,41309.11848,39716.40608,38123.69368,33559.75346,28995.81324,24431.87302,19867.9328,15303.99258,14833.53147,14363.07036,13892.60925,13422.14814,12951.68703,13171.2245,13390.76198,13610.29945,13829.83692,14049.37439,13691.9004787767,13334.4265675535,12976.9526563302,12619.4787451069,12262.0048338837,12148.0378370856,12034.0708402875,11920.1038434894,11806.1368466913,11692.1698498932,38123.6936830769,15303.9925781638,12951.6870326684,14049.3743886165,,
1.A.1. Energy industries,WAM,Total,46587.01727,45353.19763,44119.37799,42885.55835,41651.73871,36849.87827,32048.01783,27246.15738,22444.29694,17642.4365,17061.01249,16479.58848,15898.16447,15316.74046,14735.31645,14929.05159,15122.78674,15316.52188,15510.25702,15703.99216,15163.8618183282,14623.731474626,14083.6011309238,13543.470789252,13003.3404455498,12896.8267510725,12790.3130565952,12683.7993621179,12577.2856676406,12470.7719731633,41651.7387108089,17642.4364963415,14735.3164529518,15703.9921601667,,
1.A.1. Energy industries,WEM,ESR,2090.92907,2448.2769,2805.62473,3162.97256,3520.32038,3265.72048,3011.12058,2756.52069,2501.92079,2247.32089,2152.9822,2058.64352,1964.30483,1869.96615,1775.62746,1749.87884,1724.13021,1698.38159,1672.63296,1646.88434,1581.48542098999,1516.08650197997,1450.68758296996,1385.28866395994,1319.88974494993,1310.03817391272,1300.1866028755,1290.33503183829,1280.48346080108,1270.63188976386,3520.3203829893,2247.3208874908,1775.62746461391,1646.88433852251,,
1.A.1. Energy industries,WEM,ETS,44485.96857,42884.68148,41283.39439,39682.1073,38080.82021,33412.97238,28745.12455,24077.27672,19409.42889,14741.58106,14145.70553,13549.83,12953.95447,12358.07894,11762.20341,11876.79905,11991.3947,12105.99034,12220.58599,12335.18163,12021.3238381496,11707.4660462991,11393.6082544487,11079.7504625983,10765.8926707478,10665.8310191535,10565.7693675592,10465.7077159649,10365.6460643706,10265.5844127763,38080.820209276,14741.5810623072,11762.2034103905,12335.1816319424,,
1.A.1. Energy industries,WEM,Total,46576.89764,45332.95838,44089.01912,42845.07986,41601.14059,36678.69286,31756.24514,26833.79741,21911.34968,16988.90195,16298.68773,15608.47352,14918.2593,14228.04509,13537.83088,13626.67789,13715.52491,13804.37193,13893.21895,13982.06597,13501.1603510523,13020.2547302969,12539.3491095415,12058.4434905939,11577.5378698385,11482.7032897065,11387.8687095744,11293.0341294424,11198.1995493104,11103.3649691784,41601.1405922653,16988.901949798,13537.8308750044,13982.0659704649,,
1.A.2. Manufacturing industries and construction,WAM,ESR,5895.85703,5813.04913,5730.24123,5647.43332,5564.62542,5430.48988,5296.35434,5162.2188,5028.08326,4893.94772,4880.57424,4867.20077,4853.82729,4840.45382,4827.08034,4782.57841,4738.07648,4693.57455,4649.07261,4604.57068,4421.71998571433,4238.86929142865,4056.01859714297,3873.1679028573,3690.31720857163,3662.77292143007,3635.22863428851,3607.68434714696,3580.1400600054,3552.59577286385,5564.6254197804,4893.94772029436,4827.08034375567,4604.57068276785,,
1.A.2. Manufacturing industries and construction,WAM,ETS,21287.00108,21282.89413,21278.78717,21274.68022,21270.57326,20487.6058,19704.63834,18921.67088,18138.70342,17355.73596,17352.79121,17349.84645,17346.9017,17343.95694,17341.01219,17237.08527,17133.15835,17029.23143,16925.30452,16821.3776,16393.3725176445,15965.367435289,15537.3623529335,15109.3572705779,14681.3521882224,14544.8990029159,14408.4458176095,14271.992632303,14135.5394469965,13999.08626169,21270.5732589043,17355.7359628474,17341.0121855631,16821.3776008803,,
