Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
1. Energy,WAM,ESR,148384.7,145684.9,142985.1,140285.4,137585.6,136122.4,134659.2,133196.0,131732.7,130269.5,128525.9,126782.2,125038.6,123295.0,121551.3,118768.4,115985.5,113202.5,110419.6,107636.7,107636.7,107636.7,107636.7,107636.7,107636.7,107636.7,107636.7,107636.7,107636.7,107636.7,148384.660813007,145684.895820728,142985.13082845,140285.365836171,137585.600843892,136122.383968526,134659.167093159,133195.950217793,131732.733342426,130269.516467059,128525.8753626,126782.234258142,125038.593153683,123294.952049224,121551.310944765,118768.389623515,115985.468302266,113202.546981017,110419.625659768,107636.704338518,107636.704338518,107636.704338518,107636.704338518,107636.704338518,107636.704338518,107636.704338518,107636.704338518,107636.704338518,107636.704338518,107636.704338518
1. Energy,WAM,ETS,157888.0,159441.7,160995.5,162549.2,164102.9,161392.7,158682.4,155972.2,153262.0,150551.8,143926.7,137301.6,130676.5,124051.4,117426.3,114263.4,111100.5,107937.6,104774.7,101611.9,101611.9,101611.9,101611.9,101611.9,101611.9,101611.9,101611.9,101611.9,101611.9,101611.9,157888.02101143,159441.737200556,160995.453389682,162549.169578807,164102.885767933,161392.659044083,158682.432320233,155972.205596384,153261.978872534,150551.752148684,143926.663222362,137301.57429604,130676.485369718,124051.396443396,117426.307517074,114263.416075058,111100.524633041,107937.633191024,104774.741749008,101611.850306991,101611.850306991,101611.850306991,101611.850306991,101611.850306991,101611.850306991,101611.850306991,101611.850306991,101611.850306991,101611.850306991,101611.850306991
1. Energy,WAM,Total,306356.9,305221.6,304086.3,302951.0,301815.6,297644.7,293473.7,289302.7,285131.7,280960.8,272594.7,264228.7,255862.7,247496.7,239130.7,233187.9,227245.1,221302.4,215359.6,209416.8,209416.8,209416.8,209416.8,209416.8,209416.8,209416.8,209416.8,209416.8,209416.8,209416.8,306356.910751705,305221.595443807,304086.280135908,302950.964828009,301815.649520111,297644.669908117,293473.690296122,289302.710684128,285131.731072134,280960.75146014,272594.748544638,264228.745629136,255862.742713635,247496.739798133,239130.736882631,233187.942462025,227245.148041419,221302.353620813,215359.559200206,209416.7647796,209416.7647796,209416.7647796,209416.7647796,209416.7647796,209416.7647796,209416.7647796,209416.7647796,209416.7647796,209416.7647796,209416.7647796
1. Energy,WEM,ESR,151085.5,151086.6,151087.7,151088.8,151089.9,151236.6,151383.4,151530.1,151676.9,151823.6,151175.8,150528.0,149880.1,149232.3,148584.5,147798.2,147012.0,146225.7,145439.4,144653.2,144653.2,144653.2,144653.2,144653.2,144653.2,144653.2,144653.2,144653.2,144653.2,144653.2,151085.514717455,151086.603629626,151087.692541796,151088.781453966,151089.870366136,151236.616107187,151383.361848238,151530.10758929,151676.853330341,151823.599071392,151175.777594026,150527.95611666,149880.134639294,149232.313161928,148584.491684562,147798.229267999,147011.966851437,146225.704434874,145439.442018312,144653.179601749,144653.179601749,144653.179601749,144653.179601749,144653.179601749,144653.179601749,144653.179601749,144653.179601749,144653.179601749,144653.179601749,144653.179601749
1. Energy,WEM,ETS,162263.5,168192.6,174121.8,180051.0,185980.2,185682.1,185384.1,185086.0,184788.0,184489.9,178371.1,172252.2,166133.4,160014.5,153895.6,147616.6,141337.6,135058.5,128779.5,122500.5,122500.5,122500.5,122500.5,122500.5,122500.5,122500.5,122500.5,122500.5,122500.5,122500.5,162263.476787991,168192.648753678,174121.820719365,180050.992685051,185980.164650738,185682.119882587,185384.075114435,185086.030346284,184787.985578133,184489.940809982,178371.080768564,172252.220727146,166133.360685727,160014.500644309,153895.640602891,147616.609760961,141337.578919031,135058.548077101,128779.517235171,122500.486393241,122500.486393241,122500.486393241,122500.486393241,122500.486393241,122500.486393241,122500.486393241,122500.486393241,122500.486393241,122500.486393241,122500.486393241
1. Energy,WEM,Total,313433.2,319374.2,325315.2,331256.2,337197.2,337048.4,336899.5,336750.7,336601.9,336453.0,329689.1,322925.1,316161.2,309397.2,302633.3,295571.0,288508.7,281446.4,274384.2,267321.9,267321.9,267321.9,267321.9,267321.9,267321.9,267321.9,267321.9,267321.9,267321.9,267321.9,313433.220432715,319374.214805826,325315.209178937,331256.203552048,337197.197925159,337048.362885281,336899.527845404,336750.692805526,336601.857765648,336453.022725771,329689.068322266,322925.113918761,316161.159515256,309397.205111751,302633.250708246,295570.975792413,288508.70087658,281446.425960747,274384.151044914,267321.876129081,267321.876129081,267321.876129081,267321.876129081,267321.876129081,267321.876129081,267321.876129081,267321.876129081,267321.876129081,267321.876129081,267321.876129081
1.A.1. Energy industries,WAM,ESR,9928.4,8325.9,6723.4,5120.9,3518.4,3506.0,3493.6,3481.3,3468.9,3456.5,3370.2,3283.9,3197.6,3111.3,3025.0,2984.2,2943.5,2902.7,2861.9,2821.1,2821.1,2821.1,2821.1,2821.1,2821.1,2821.1,2821.1,2821.1,2821.1,2821.1,9928.36082644669,8325.86252292623,6723.36421940577,5120.86591588531,3518.36761236485,3505.99728468268,3493.62695700051,3481.25662931835,3468.88630163618,3456.51597395401,3370.21413791838,3283.91230188275,3197.61046584712,3111.30862981149,3025.00679377586,2984.23296990517,2943.45914603448,2902.68532216379,2861.9114982931,2821.13767442241,2821.13767442241,2821.13767442241,2821.13767442241,2821.13767442241,2821.13767442241,2821.13767442241,2821.13767442241,2821.13767442241,2821.13767442241,2821.13767442241
1.A.1. Energy industries,WAM,ETS,130441.9,132716.8,134991.6,137266.4,139541.3,137480.3,135419.3,133358.3,131297.4,129236.4,123015.7,116795.1,110574.4,104353.7,98133.1,95252.0,92370.9,89489.8,86608.7,83727.6,83727.6,83727.6,83727.6,83727.6,83727.6,83727.6,83727.6,83727.6,83727.6,83727.6,130441.931084292,132716.769047583,134991.607010875,137266.444974167,139541.282937459,137480.303034616,135419.323131774,133358.343228932,131297.36332609,129236.383423248,123015.719128816,116795.054834384,110574.390539952,104353.72624552,98133.0619510883,95251.9755534847,92370.8891558812,89489.8027582776,86608.716360674,83727.6299630705,83727.6299630705,83727.6299630705,83727.6299630705,83727.6299630705,83727.6299630705,83727.6299630705,83727.6299630705,83727.6299630705,83727.6299630705,83727.6299630705
1.A.1. Energy industries,WAM,Total,140370.3,141042.6,141715.0,142387.3,143059.7,140986.3,138913.0,136839.6,134766.2,132692.9,126385.9,120079.0,113772.0,107465.0,101158.1,98236.2,95314.3,92392.5,89470.6,86548.8,86548.8,86548.8,86548.8,86548.8,86548.8,86548.8,86548.8,86548.8,86548.8,86548.8,140370.291910738,141042.63157051,141714.971230281,142387.310890052,143059.650549823,140986.300319299,138912.950088775,136839.599858251,134766.249627726,132692.899397202,126385.933266735,120078.967136267,113772.001005799,107465.034875332,101158.068744864,98236.2085233899,95314.3483019156,92392.4880804414,89470.6278589671,86548.7676374929,86548.7676374929,86548.7676374929,86548.7676374929,86548.7676374929,86548.7676374929,86548.7676374929,86548.7676374929,86548.7676374929,86548.7676374929,86548.7676374929
1.A.1. Energy industries,WEM,ESR,9956.3,8381.7,6807.1,5232.5,3657.9,3670.0,3682.2,3694.3,3706.5,3718.6,3641.6,3564.6,3487.6,3410.7,3333.7,3252.4,3171.1,3089.8,3008.5,2927.2,2927.2,2927.2,2927.2,2927.2,2927.2,2927.2,2927.2,2927.2,2927.2,2927.2,9956.26003382431,8381.66093768147,6807.06184153863,5232.46274539579,3657.86364925295,3670.01122141714,3682.15879358133,3694.30636574552,3706.45393790971,3718.6015100739,3641.61758771547,3564.63366535704,3487.6497429986,3410.66582064017,3333.68189828174,3252.38211497922,3171.08233167671,3089.78254837419,3008.48276507168,2927.18298176916,2927.18298176916,2927.18298176916,2927.18298176916,2927.18298176916,2927.18298176916,2927.18298176916,2927.18298176916,2927.18298176916,2927.18298176916,2927.18298176916
