Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040,Reported Value 2045,Reported Value 2050
1. Energy,WAM,ESR,23231.16,23281.02,23330.88,23380.74,23430.6,22033.92,20637.24,19240.56,17843.88,16447.2,15547.3,14647.4,13747.5,12847.6,11947.7,10850.48,9753.26,8656.04,7558.82,6461.6,5924.86,5388.12,4851.38,4314.64,3777.9,3532.32,3286.74,3041.16,2795.58,2550.0,23430.5991461428,16447.2090609103,11947.7003584147,6461.55037031847,3777.85511810679,2549.97885143788
1. Energy,WAM,ETS,19129.08,16732.26,14335.44,11938.62,9541.8,9113.66,8685.52,8257.38,7829.24,7401.1,6715.08,6029.06,5343.04,4657.02,3971.0,3935.48,3899.96,3864.44,3828.92,3793.4,3521.84,3250.28,2978.72,2707.16,2435.6,2287.96,2140.32,1992.68,1845.04,1697.4,9541.82948883181,7401.10895815139,3970.9556153744,3793.44267784578,2435.5715283035,1697.38101155474
1. Energy,WAM,Total,42635.6,40265.6,37895.6,35525.6,33155.6,31333.9,29512.2,27690.5,25868.8,24047.1,22452.24,20857.38,19262.52,17667.66,16072.8,14921.2,13769.6,12618.0,11466.4,10314.8,9505.96,8697.12,7888.28,7079.44,6270.6,5877.24,5483.88,5090.52,4697.16,4303.8,33155.6202069746,24047.1351040617,16072.7612047891,10314.7984251642,6270.64630941029,4303.78865099262
1. Energy,WEM,ESR,23150.9,23120.5,23090.1,23059.7,23029.3,22019.8,21010.3,20000.8,18991.3,17981.8,17691.72,17401.64,17111.56,16821.48,16531.4,16028.2,15525.0,15021.8,14518.6,14015.4,13804.78,13594.16,13383.54,13172.92,12962.3,12688.02,12413.74,12139.46,11865.18,11590.9,23029.3181886737,17981.8153430925,16531.3644608158,14015.4381471278,12962.3181573401,11590.8977691375
1. Energy,WEM,ETS,20569.96,19614.02,18658.08,17702.14,16746.2,15209.18,13672.16,12135.14,10598.12,9061.1,8719.42,8377.74,8036.06,7694.38,7352.7,7268.94,7185.18,7101.42,7017.66,6933.9,6811.0,6688.1,6565.2,6442.3,6319.4,6302.66,6285.92,6269.18,6252.44,6235.7,16746.1975102795,9061.14378211538,7352.71772659276,6933.87495238094,6319.36704770206,6235.68820595592
1. Energy,WEM,Total,43996.22,42986.84,41977.46,40968.08,39958.7,37415.32,34871.94,32328.56,29785.18,27241.8,26604.16,25966.52,25328.88,24691.24,24053.6,23467.14,22880.68,22294.22,21707.76,21121.3,20784.06,20446.82,20109.58,19772.34,19435.1,19143.52,18851.94,18560.36,18268.78,17977.2,39958.7072709532,27241.7762102078,24053.6282284086,21121.3144625087,19435.0984120421,17977.1602000934
1.A.1. Energy industries,WAM,ESR,124.26,117.82,111.38,104.94,98.5,100.34,102.18,104.02,105.86,107.7,102.16,96.62,91.08,85.54,80.0,71.7,63.4,55.1,46.8,38.5,35.46,32.42,29.38,26.34,23.3,21.68,20.06,18.44,16.82,15.2,98.4810861288879,107.725508286831,79.9926213292954,38.4587941714901,23.2515836861901,15.2300879204748
1.A.1. Energy industries,WAM,ETS,12898.7,10779.1,8659.5,6539.9,4420.3,4123.08,3825.86,3528.64,3231.42,2934.2,2601.2,2268.2,1935.2,1602.2,1269.2,1230.8,1192.4,1154.0,1115.6,1077.2,983.2,889.2,795.2,701.2,607.2,551.5,495.8,440.1,384.4,328.7,4420.25637744333,2934.15392946852,1269.19408823928,1077.20812678162,607.159316473184,328.691411323382
1.A.1. Energy industries,WAM,Total,13022.94,10896.88,8770.82,6644.76,4518.7,4223.34,3927.98,3632.62,3337.26,3041.9,2703.36,2364.82,2026.28,1687.74,1349.2,1302.5,1255.8,1209.1,1162.4,1115.7,1018.64,921.58,824.52,727.46,630.4,573.1,515.8,458.5,401.2,343.9,4518.73746357222,3041.87943775535,1349.18670956858,1115.66692095311,630.410900159374,343.921499243857
1.A.1. Energy industries,WEM,ESR,124.66,118.62,112.58,106.54,100.5,97.86,95.22,92.58,89.94,87.3,83.32,79.34,75.36,71.38,67.4,64.34,61.28,58.22,55.16,52.1,49.26,46.42,43.58,40.74,37.9,37.1,36.3,35.5,34.7,33.9,100.524703492063,87.2660960133244,67.4366270749442,52.136382277854,37.9410263412351,33.8840756109687
1.A.1. Energy industries,WEM,ETS,14303.86,13589.42,12874.98,12160.54,11446.1,9886.62,8327.14,6767.66,5208.18,3648.7,3408.58,3168.46,2928.34,2688.22,2448.1,2439.92,2431.74,2423.56,2415.38,2407.2,2298.0,2188.8,2079.6,1970.4,1861.2,1842.48,1823.76,1805.04,1786.32,1767.6,11446.1335255771,3648.68989274828,2448.12263683414,2407.1540838934,1861.22913250975,1767.6324558316
1.A.1. Energy industries,WEM,Total,14428.54,13708.08,12987.62,12267.16,11546.7,9984.56,8422.42,6860.28,5298.14,3736.0,3491.92,3247.84,3003.76,2759.68,2515.6,2504.34,2493.08,2481.82,2470.56,2459.3,2347.28,2235.26,2123.24,2011.22,1899.2,1879.66,1860.12,1840.58,1821.04,1801.5,11546.6582290691,3735.9559887616,2515.55926390909,2459.29046617125,1899.17015885098,1801.51653144257
1.A.2. Manufacturing industries and construction,WAM,ESR,2062.42,1951.64,1840.86,1730.08,1619.3,1615.44,1611.58,1607.72,1603.86,1600.0,1488.9,1377.8,1266.7,1155.6,1044.5,1050.36,1056.22,1062.08,1067.94,1073.8,1047.06,1020.32,993.58,966.84,940.1,941.68,943.26,944.84,946.42,948.0,1619.29364372795,1599.96249468853,1044.47975107833,1073.82791784456,940.103745900475,947.993990082102
1.A.2. Manufacturing industries and construction,WAM,ETS,5183.2,4906.0,4628.8,4351.6,4074.4,3975.58,3876.76,3777.94,3679.12,3580.3,3325.24,3070.18,2815.12,2560.06,2305.0,2315.24,2325.48,2335.72,2345.96,2356.2,2206.74,2057.28,1907.82,1758.36,1608.9,1536.24,1463.58,1390.92,1318.26,1245.6,4074.43725148525,3580.32575425647,2304.95553447168,2356.15881132552,1608.90529865584,1245.56290317718
