Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2045,Reported Value 2050
1. Energy,WAM,ESR,52017.5,52525.5,53033.5,53541.5,54049.4,54327.8,54606.2,54884.6,55163.0,55441.4,55888.6,56335.7,56782.8,57229.9,57677.1,57769.0,57860.9,57952.9,58044.8,58136.7,57773.38,57410.06,57046.74,56683.42,56320.1,56823.96,57327.82,57831.68,58335.54,58839.4,52017.4870844469,52525.4768719812,53033.4666595155,53541.4564470498,54049.4462345841,54327.8457139408,54606.2451932975,54884.6446726542,55163.0441520109,55441.4436313676,55888.5692459168,56335.694860466,56782.8204750152,57229.9460895643,57677.0717041135,57768.9981644966,57860.9246248797,57952.8510852627,58044.7775456458,58136.7040060288,56320.118341652,58839.4191116368
1. Energy,WAM,ETS,21080.5,19954.0,18827.5,17701.0,16574.5,15490.0,14405.6,13321.1,12236.7,11152.2,11313.7,11475.3,11636.8,11798.3,11959.9,11800.7,11641.5,11482.3,11323.0,11163.8,11165.04,11166.28,11167.52,11168.76,11170.0,11092.4,11014.8,10937.2,10859.6,10782.0,21080.5209026537,19954.0156941849,18827.5104857162,17701.0052772475,16574.5000687787,15490.0388361416,14405.5776035044,13321.1163708672,12236.65513823,11152.1939055929,11313.732766026,11475.2716264591,11636.8104868923,11798.3493473254,11959.8882077586,11800.6765778169,11641.4649478752,11482.2533179336,11323.0416879919,11163.8300580502,11170.0009908239,10781.9614656049
1. Energy,WAM,Total,73226.2,72620.3,72014.4,71408.5,70802.5,70002.2,69201.9,68401.5,67601.2,66800.8,67416.6,68032.4,68648.2,69264.0,69879.8,69825.3,69770.9,69716.4,69662.0,69607.5,69248.26,68889.02,68529.78,68170.54,67811.3,68241.8,68672.3,69102.8,69533.3,69963.8,73226.2406325685,72620.3170502671,72014.3934679657,71408.4698856643,70802.5463033629,70002.2045500824,69201.8627968019,68401.5210435214,67601.1792902409,66800.8375369604,67416.6220119428,68032.4064869251,68648.1909619074,69263.9754368897,69879.7599118721,69825.3147423135,69770.8695727549,69716.4244031963,69661.9792336377,69607.5340640791,67811.2693324759,69963.8305772416
1. Energy,WEM,ESR,52239.2,52969.0,53698.7,54428.5,55158.2,55461.6,55765.0,56068.4,56371.8,56675.2,57311.4,57947.5,58583.6,59219.8,59855.9,60382.2,60908.6,61434.9,61961.2,62487.5,62353.64,62219.78,62085.92,61952.06,61818.2,62270.72,62723.24,63175.76,63628.28,64080.8,52239.2438031493,52968.9903093861,53698.7368156228,54428.4833218596,55158.2298280963,55461.6284748842,55765.0271216721,56068.42576846,56371.824415248,56675.2230620358,57311.3635203547,57947.5039786736,58583.6444369924,59219.7848953113,59855.9253536301,60382.2497638135,60908.5741739968,61434.8985841801,61961.2229943634,62487.5474045467,61818.2266993015,64080.7617799259
1. Energy,WEM,ETS,21109.7,20012.4,18915.1,17817.8,16720.5,15639.7,14558.9,13478.1,12397.3,11316.5,11490.4,11664.3,11838.2,12012.1,12185.9,12336.0,12486.0,12636.1,12786.1,12936.1,12702.16,12468.22,12234.28,12000.34,11766.4,11590.06,11413.72,11237.38,11061.04,10884.7,21109.7299091512,20012.43370718,18915.1375052088,17817.8413032375,16720.5451012663,15639.7451709414,14558.9452406165,13478.1453102916,12397.3453799666,11316.5454496417,11490.4248324195,11664.3042151972,11838.1835979749,12012.0629807527,12185.9423635304,12335.9812082141,12486.0200528978,12636.0588975815,12786.0977422652,12936.136586949,11766.4302085551,10884.68395122
1. Energy,WEM,Total,73482.9,73133.7,72784.5,72435.3,72086.0,71315.8,70545.5,69775.3,69005.0,68234.8,69052.0,69869.1,70686.3,71503.5,72320.6,73002.7,73684.8,74366.9,75049.0,75731.0,75368.92,75006.84,74644.76,74282.68,73920.6,74202.48,74484.36,74766.24,75048.12,75330.0,73482.9398577685,73133.715500667,72784.4911435656,72435.2667864641,72086.0424293626,71315.7941458256,70545.5458622886,69775.2975787516,69005.0492952146,68234.8010116776,69051.9678527742,69869.1346938708,70686.3015349674,71503.468376064,72320.6352171605,73002.7154720276,73684.7957268946,74366.8759817616,75048.9562366287,75731.0364914957,73920.5944078567,75329.9682311459
1. Energy,WOM,Total,111784.1,112405.8,113027.5,113649.3,114271.0,115378.6,116486.1,117593.7,118701.2,119808.8,121138.8,122468.8,123798.7,125128.7,126458.7,127848.6,129238.6,130628.5,132018.4,133408.4,134039.58,134670.76,135301.94,135933.12,136564.3,136946.24,137328.18,137710.12,138092.06,138474.0,111784.082424099,112405.812468933,113027.542513767,113649.2725586,114271.002603434,115378.563578895,116486.124554357,117593.685529818,118701.246505279,119808.80748074,121138.78478074,122468.76208074,123798.73938074,125128.71668074,126458.69398074,127848.62568074,129238.55738074,130628.48908074,132018.42078074,133408.35248074,136564.341948866,138474.022319825
1.A.1. Energy industries,WAM,ESR,1797.9,1726.3,1654.7,1583.1,1511.5,1335.4,1159.2,983.1,806.9,630.7,633.8,636.8,639.9,643.0,646.0,633.6,621.1,608.6,596.1,583.6,574.5,565.4,556.3,547.2,538.1,529.48,520.86,512.24,503.62,495.0,1797.87666622689,1726.29358898583,1654.71051174477,1583.1274345037,1511.54435726265,1335.37959047809,1159.21482369353,983.050056908973,806.885290124415,630.720523339857,633.785241994753,636.849960649651,639.914679304547,642.979397959443,646.044116614339,633.561772955743,621.079429297146,608.597085638548,596.114741979953,583.632398321354,538.101685200451,495.008775290392
1.A.1. Energy industries,WAM,ETS,15314.8,14165.6,13016.3,11867.1,10717.8,9571.9,8426.0,7280.1,6134.2,4988.3,5073.1,5157.9,5242.7,5327.6,5412.4,5224.2,5036.0,4847.9,4659.7,4471.5,4315.52,4159.54,4003.56,3847.58,3691.6,3544.74,3397.88,3251.02,3104.16,2957.3,15314.8008719755,14165.5613961442,13016.3219203128,11867.0824444815,10717.8429686502,9571.92545471755,8426.0079407849,7280.09042685225,6134.17291291961,4988.25539898696,5073.08568297066,5157.91596695436,5242.74625093806,5327.57653492176,5412.40681890546,5224.22562487173,5036.04443083799,4847.86323680426,4659.68204277052,4471.50084873679,3691.62696896486,2957.27327179866
1.A.1. Energy industries,WAM,Total,17112.7,15891.9,14671.0,13450.2,12229.4,10907.3,9585.2,8263.1,6941.1,5619.0,5706.9,5794.8,5882.7,5970.6,6058.5,5857.8,5657.1,5456.5,5255.8,5055.1,4890.02,4724.94,4559.86,4394.78,4229.7,4074.22,3918.74,3763.26,3607.78,3452.3,17112.6775382024,15891.85498513,14671.0324320576,13450.2098789852,12229.3873259128,10907.3050451956,9585.22276447843,8263.14048376123,6941.05820304402,5618.97592232682,5706.87092496542,5794.76592760401,5882.66093024261,5970.5559328812,6058.4509355198,5857.78739782747,5657.12386013514,5456.46032244281,5255.79678475048,5055.13324705814,4229.72865416531,3452.28204708905
