Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050
1. Energy,WAM,ESR,18778.1,17676.0,16573.9,15471.8,14369.7,13165.34,11960.98,10756.62,9552.26,8347.9,8019.62,7691.34,7363.06,7034.78,6706.5,6435.02,6163.54,5892.06,5620.58,5349.1,5181.26,5013.42,4845.58,4677.74,4509.9,4414.76,4319.62,4224.48,4129.34,4034.2
1. Energy,WAM,ETS,11893.2,11898.4,11903.6,11908.8,11914.0,11517.88,11121.76,10725.64,10329.52,9933.4,9395.12,8856.84,8318.56,7780.28,7242.0,7171.36,7100.72,7030.08,6959.44,6888.8,6857.28,6825.76,6794.24,6762.72,6731.2,6723.14,6715.08,6707.02,6698.96,6690.9
1. Energy,WAM,Total,30929.26,29895.52,28861.78,27828.04,26794.3,25164.28,23534.26,21904.24,20274.22,18644.2,17774.98,16905.76,16036.54,15167.32,14298.1,13953.42,13608.74,13264.06,12919.38,12574.7,12372.88,12171.06,11969.24,11767.42,11565.6,11460.02,11354.44,11248.86,11143.28,11037.7
1. Energy,WEM,ESR,18778.1,17676.0,16573.9,15471.8,14369.7,13165.34,11960.98,10756.62,9552.26,8347.9,8019.62,7691.34,7363.06,7034.78,6706.5,6435.02,6163.54,5892.06,5620.58,5349.1,5181.26,5013.42,4845.58,4677.74,4509.9,4414.76,4319.62,4224.48,4129.34,4034.2
1. Energy,WEM,ETS,11893.2,11898.4,11903.6,11908.8,11914.0,11517.88,11121.76,10725.64,10329.52,9933.4,9395.12,8856.84,8318.56,7780.28,7242.0,7171.36,7100.72,7030.08,6959.44,6888.8,6857.28,6825.76,6794.24,6762.72,6731.2,6723.14,6715.08,6707.02,6698.96,6690.9
1. Energy,WEM,Total,30929.26,29895.52,28861.78,27828.04,26794.3,25164.28,23534.26,21904.24,20274.22,18644.2,17774.98,16905.76,16036.54,15167.32,14298.1,13953.42,13608.74,13264.06,12919.38,12574.7,12372.88,12171.06,11969.24,11767.42,11565.6,11460.02,11354.44,11248.86,11143.28,11037.7
1.A.1. Energy industries,WAM,ESR,241.6,237.4,233.2,229.0,224.8,222.66,220.52,218.38,216.24,214.1,213.74,213.38,213.02,212.66,212.3,212.46,212.62,212.78,212.94,213.1,215.64,218.18,220.72,223.26,225.8,225.34,224.88,224.42,223.96,223.5
1.A.1. Energy industries,WAM,ETS,7295.7,7288.7,7281.7,7274.7,7267.7,7186.96,7106.22,7025.48,6944.74,6864.0,6407.68,5951.36,5495.04,5038.72,4582.4,4575.62,4568.84,4562.06,4555.28,4548.5,4554.58,4560.66,4566.74,4572.82,4578.9,4574.82,4570.74,4566.66,4562.58,4558.5
1.A.1. Energy industries,WAM,Total,7537.3,7526.1,7514.9,7503.7,7492.5,7409.6,7326.7,7243.8,7160.9,7078.0,6621.34,6164.68,5708.02,5251.36,4794.7,4788.08,4781.46,4774.84,4768.22,4761.6,4770.24,4778.88,4787.52,4796.16,4804.8,4800.24,4795.68,4791.12,4786.56,4782.0
1.A.1. Energy industries,WEM,ESR,241.6,237.4,233.2,229.0,224.8,222.66,220.52,218.38,216.24,214.1,213.74,213.38,213.02,212.66,212.3,212.46,212.62,212.78,212.94,213.1,215.64,218.18,220.72,223.26,225.8,225.34,224.88,224.42,223.96,223.5
1.A.1. Energy industries,WEM,ETS,7295.7,7288.7,7281.7,7274.7,7267.7,7186.96,7106.22,7025.48,6944.74,6864.0,6407.68,5951.36,5495.04,5038.72,4582.4,4575.62,4568.84,4562.06,4555.28,4548.5,4554.58,4560.66,4566.74,4572.82,4578.9,4574.82,4570.74,4566.66,4562.58,4558.5
1.A.1. Energy industries,WEM,Total,7537.3,7526.1,7514.9,7503.7,7492.5,7409.6,7326.7,7243.8,7160.9,7078.0,6621.34,6164.68,5708.02,5251.36,4794.7,4788.08,4781.46,4774.84,4768.22,4761.6,4770.24,4778.88,4787.52,4796.16,4804.8,4800.24,4795.68,4791.12,4786.56,4782.0
1.A.2. Manufacturing industries and construction,WAM,ESR,1928.68,1806.46,1684.24,1562.02,1439.8,1354.24,1268.68,1183.12,1097.56,1012.0,986.0,960.0,934.0,908.0,882.0,867.88,853.76,839.64,825.52,811.4,805.32,799.24,793.16,787.08,781.0,778.7,776.4,774.1,771.8,769.5
1.A.2. Manufacturing industries and construction,WAM,ETS,4075.92,4011.34,3946.76,3882.18,3817.6,3602.86,3388.12,3173.38,2958.64,2743.9,2662.54,2581.18,2499.82,2418.46,2337.1,2273.22,2209.34,2145.46,2081.58,2017.7,1980.04,1942.38,1904.72,1867.06,1829.4,1825.42,1821.44,1817.46,1813.48,1809.5
