Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2045,Reported Value 2050
1. Energy,WAM,ESR,7911.3,7817.8,7724.3,7630.9,7535.2,7323.3,7111.4,6899.4,6687.5,6410.1,6111.9,5813.7,5515.5,5217.3,4926.7,4526.9,4127.1,3727.3,3327.5,2927.7,2667.42,2407.14,2146.86,1886.58,1626.3,1366.02,1105.74,845.46,585.18,324.9,7911.26440700941,7817.79820626993,7724.33200553044,7630.86580479097,7535.18762357483,7323.27117321515,7111.35472285545,6899.43827249569,6687.52182213598,6410.07476691894,6111.87109853111,5813.66743014323,5515.4637617554,5217.26009336751,4926.74906100381,4526.93513789731,4127.1212147908,3727.3072916843,3327.49336857779,2927.67944547128,1626.27367108566,324.867896700036
1. Energy,WAM,ETS,5355.2,5309.6,5264.1,5218.6,5116.3,5017.1,4918.0,4818.8,4719.7,3729.8,3706.7,3683.5,3660.4,3637.2,2021.8,1953.4,1884.9,1816.5,1748.1,1679.6,1514.16,1348.72,1183.28,1017.84,852.4,686.94,521.48,356.02,190.56,25.1,5355.15498964972,5309.62818080097,5264.1013719522,5218.57456310344,5116.26734736949,5017.12704205939,4917.98673674931,4818.84643143922,4719.70612612913,3729.82000563106,3706.66668309,3683.51336054893,3660.36003800787,3637.2067154668,2021.80282655626,1953.37039715916,1884.93796776207,1816.50553836498,1748.07310896788,1679.64067957078,852.366378055448,25.0920765401149
1. Energy,WAM,Total,13268.3,13129.3,12990.3,12851.3,12653.3,12342.3,12031.2,11720.2,11409.1,10141.8,9820.4,9499.1,9177.7,8856.4,6950.4,6482.2,6013.9,5545.7,5077.5,4609.2,4183.46,3757.72,3331.98,2906.24,2480.5,2054.76,1629.02,1203.28,777.54,351.8,13268.307539244,13129.3145296558,12990.3215200675,12851.3285104793,12653.3431135292,12342.2863578594,12031.2296021896,11720.1728465198,11409.11609085,10141.7829151349,9820.42592420599,9499.06893327704,9177.71194234815,8856.35495141919,6950.44003014494,6482.19367764135,6013.94732513775,5545.70097263416,5077.45462013055,4609.20826762694,2480.52819172598,351.848115825031
1. Energy,WEM,ESR,8192.8,8209.6,8226.4,8243.2,8257.8,8257.9,8258.0,8258.1,8258.2,8259.0,8218.0,8177.0,8136.0,8094.9,8053.9,7931.7,7859.0,7786.2,7713.4,7641.6,7578.5,7515.4,7452.3,7389.2,7326.1,7263.0,7199.9,7136.8,7073.7,7010.6,8192.79156957026,8209.60421507922,8226.41686058822,8243.22950609719,8257.81830849326,8257.92052200139,8258.0227355095,8258.12494901763,8258.22716252575,8259.03290665201,8218.01184562319,8176.99078459436,8135.96972356554,8094.94866253672,8053.92760150791,7931.73990443945,7858.9685973821,7786.19729032473,7713.42598326738,7641.59532658405,7326.10830825533,7010.62128992662
1. Energy,WEM,ETS,5600.2,5593.7,5587.2,5580.7,5505.6,5374.1,5242.7,5111.2,4979.7,5562.0,5603.9,5645.8,5687.7,5729.6,5771.5,4954.5,4835.7,4716.9,4598.1,5433.6,5464.44,5495.28,5526.12,5556.96,5587.8,5618.64,5649.48,5680.32,5711.16,5742.0,5600.18974701562,5593.69593538757,5587.20212375951,5580.70831213146,5505.61260286389,5374.13998584391,5242.66736882392,5111.19475180392,4979.72213478392,5561.99101149553,5603.90099746055,5645.81098342556,5687.72096939057,5729.63095535559,5771.5409413206,4954.53490101792,4835.73768180692,4716.9404625959,4598.14324338491,5433.64877336674,5587.8184435753,5741.98811378386
1. Energy,WEM,Total,13794.9,13805.2,13815.5,13825.8,13765.3,13633.9,13502.6,13371.2,13239.8,13822.9,13823.8,13824.7,13825.6,13826.5,13827.4,12888.2,12696.6,12505.0,12313.5,13077.1,13044.84,13012.58,12980.32,12948.06,12915.8,12883.54,12851.28,12819.02,12786.76,12754.5,13794.8694591708,13805.1882930517,13815.5071269326,13825.8259608135,13765.319053942,13633.9486504302,13502.5782469183,13371.2078434064,13239.8374398945,13822.9120607324,13823.8009856686,13824.6899106048,13825.578835541,13826.4677604772,13827.3566854134,12888.1629480423,12696.5944217739,12505.0258955055,12313.4573692372,13077.1322425357,12915.8148944155,12754.4975462954
1. Energy,WOM,ESR,9218.9,9305.2,9391.5,9477.7,9564.0,9665.0,9766.0,9867.0,9968.0,10068.9,10166.6,10264.2,10361.8,10459.4,10557.0,10723.3,10889.6,11055.8,11222.1,11388.4,11385.3,11382.2,11379.1,11376.0,11372.9,11369.8,11366.7,11363.6,11360.5,11357.4,9218.89422971105,9305.17547632258,9391.45672293412,9477.73796954567,9564.0192161572,9665.00466682217,9765.99011748713,9866.97556815207,9967.96101881703,10068.9464694819,10166.5621845438,10264.1778996057,10361.7936146675,10459.4093297294,10557.0250447913,10723.2998200672,10889.5745953432,11055.8493706192,11222.1241458952,11388.3989211711,11372.8848343128,11357.3707474545
1. Energy,WOM,ETS,7435.3,7446.0,7456.7,7467.4,7478.1,7487.6,7497.2,7506.8,7516.4,7526.0,7534.6,7543.2,7551.8,7560.4,7569.1,7577.3,7585.6,7593.8,7602.1,7610.3,7617.88,7625.46,7633.04,7640.62,7648.2,7655.78,7663.36,7670.94,7678.52,7686.1,7435.26838944627,7445.96668513201,7456.66498081774,7467.36327650348,7478.06157218922,7487.63940239453,7497.21723259985,7506.79506280516,7516.37289301047,7525.95072321578,7534.57458870545,7543.19845419512,7551.82231968479,7560.44618517446,7569.07005066413,7577.322416004,7585.57478134387,7593.82714668374,7602.0795120236,7610.33187736347,7648.22367157589,7686.11546578831
1. Energy,WOM,Total,16656.1,16753.0,16850.0,16947.0,17044.0,17154.5,17265.1,17375.7,17486.2,17596.8,17703.0,17809.3,17915.5,18021.7,18128.0,18302.5,18477.0,18651.6,18826.1,19000.6,19005.08,19009.56,19014.04,19018.52,19023.0,19027.48,19031.96,19036.44,19040.92,19045.4,16656.0507617422,16753.0303040395,16850.0098463367,16946.989388634,17043.9689309313,17154.5322118016,17265.0954926719,17375.6587735421,17486.2220544124,17596.7853352826,17703.0249158342,17809.2644963857,17915.5040769372,18021.7436574887,18127.9832380403,18302.5103786561,18477.037519272,18651.5646598878,18826.0918005037,19000.6189411195,19022.9966484736,19045.3743558277
1.A.1. Energy industries,WAM,ESR,116.6,111.2,105.8,100.4,92.8,88.3,83.8,79.3,74.9,68.9,66.4,63.9,61.3,58.8,57.2,54.9,52.7,50.4,48.1,45.9,44.22,42.54,40.86,39.18,37.5,35.82,34.14,32.46,30.78,29.1,116.558421411664,111.159319182048,105.760216952432,100.361114722816,92.7500320165746,88.2830140548094,83.8159960930443,79.3489781312792,74.8819601695127,68.9440744631988,66.40675059046,63.8694267177202,61.3321028449823,58.794778972243,57.1997903783854,54.9332809923635,52.6667716063414,50.4002622203197,48.1337528342979,45.8672434482762,37.4943270116183,29.1214105749604
1.A.1. Energy industries,WAM,ETS,4284.3,4251.6,4219.0,4186.4,4096.9,4029.1,3961.2,3893.4,3825.5,2878.8,2872.6,2866.4,2860.3,2854.1,1254.5,1224.0,1193.6,1163.2,1132.7,1102.3,992.1,881.9,771.7,661.5,551.3,441.1,330.9,220.7,110.5,0.3,4284.29035860807,4251.64695301874,4219.0035474294,4186.36014184007,4096.93632936554,4029.0776099929,3961.21889062026,3893.36017124762,3825.50145187497,2878.76151986772,2872.60415286683,2866.44678586593,2860.28941886503,2854.13205186413,1254.47388489826,1224.03423800921,1193.59459112016,1163.15494423111,1132.71529734206,1102.27565045301,551.297487431351,0.319324409696184
1.A.1. Energy industries,WAM,Total,4400.8,4362.8,4324.8,4286.7,4189.7,4117.4,4045.0,3972.7,3900.4,2947.7,2939.0,2930.3,2921.6,2912.9,1311.7,1279.0,1246.3,1213.6,1180.8,1148.1,1036.24,924.38,812.52,700.66,588.8,476.92,365.04,253.16,141.28,29.4,4400.84878001973,4362.80627220078,4324.76376438183,4286.72125656288,4189.68636138211,4117.36062404771,4045.0348867133,3972.7091493789,3900.38341204449,2947.70559433092,2939.01090345729,2930.31621258365,2921.62152171001,2912.92683083638,1311.67367527664,1278.96751900157,1246.2613627265,1213.55520645143,1180.84905017636,1148.14289390128,588.79181444297,29.4407349846566
1.A.1. Energy industries,WEM,ESR,121.6,118.8,116.0,113.1,108.1,110.1,112.1,114.1,116.1,118.8,116.8,114.8,112.8,110.8,108.8,105.9,103.7,101.6,99.4,98.1,97.04,95.98,94.92,93.86,92.8,91.74,90.68,89.62,88.56,87.5,121.574726339038,118.765403832947,115.956081326858,113.146758820767,108.113593201781,110.10391845599,112.094243710199,114.084568964408,116.074894218616,118.768750090978,116.765644199897,114.762538308817,112.759432417735,110.756326526654,108.753220635575,105.926592115469,103.74458188616,101.56257165685,99.3805614275416,98.1392015722713,92.8148793697451,87.4905571672189
