Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
1. Energy,WAM,ESR,14029.5,15045.3,15703.6,15641.5,15370.8,15643.0,15798.9,15950.9,15903.4,16003.5,15702.0,15201.8,14915.5,14579.3,14043.3,13579.8,13092.1,12604.1,12164.5,11749.6,11316.5,10935.3,10560.1,10205.4,9857.9,9535.5,9246.9,8990.5,8739.9,8506.4,14029.4871013043,15045.2709518019,15703.6180579631,15641.5172280226,15370.8468912281,15642.9678227369,15798.942301166,15950.9102761025,15903.4389216707,16003.530038092,15702.0081343194,15201.7598938495,14915.520624095,14579.3379524725,14043.2580804422,13579.7850472048,13092.0787701818,12604.1033631179,12164.5321486964,11749.6033919521,11316.5477991892,10935.3053805035,10560.0727248274,10205.4278370751,9857.90373248648,9535.53052137608,9246.92701764,8990.47957680824,8739.90112815182,8506.42537414698
1. Energy,WAM,ETS,11224.2,11452.1,11680.1,11908.0,12136.0,10692.3,9235.2,8546.1,7856.9,7167.7,7094.5,7021.2,6947.9,6874.7,6801.4,6844.7,6888.0,6931.3,6974.6,7017.9,7076.3,7134.8,7193.2,7251.7,7310.2,7252.9,7195.6,7138.3,7081.0,7023.7,11224.1882375539,11452.1353531425,11680.0824687311,11908.0295843196,12135.9766999082,10692.3054100907,9235.23191242951,8546.07036630969,7856.90882018988,7167.74727407006,7094.47646662256,7021.20565917505,6947.93485172755,6874.66404428005,6801.39323683254,6844.68474273336,6887.97624863418,6931.267754535,6974.55926043583,7017.85076633665,7076.31335595099,7134.77594556533,7193.23853517967,7251.70112479401,7310.16371440835,7252.86220275946,7195.56069111056,7138.25917946167,7080.95766781277,7023.65615616388
1. Energy,WAM,Total,25254.6,26498.4,27384.8,27550.7,27508.1,26336.5,25035.5,24498.3,23761.7,23172.6,22797.8,22224.3,21864.8,21455.3,20846.0,20425.8,19981.4,19536.7,19140.4,18768.8,18394.2,18071.4,17754.6,17458.5,17169.4,16789.7,16443.8,16130.1,15822.2,15531.5,25254.6285669204,26498.432881822,27384.8004523872,27550.7200868507,27508.0702144602,26336.5382796112,25035.4576838388,24498.2825361153,23761.6680590233,23172.6160527845,22797.8228593017,22224.3033291217,21864.792769657,21455.3388083244,20845.9876465839,20425.8061243777,19981.391358386,19536.7074623534,19140.4277589632,18768.7905132501,18394.1975049712,18071.4176707693,17754.6475995772,17458.4652963087,17169.403776204,16789.7381329345,16443.8421980392,16130.1023250483,15822.2314452328,15531.4632590688
1. Energy,WEM,ESR,15970.0,16294.2,17131.1,17316.1,17432.4,17625.1,17725.6,17779.2,17809.3,17762.0,17651.1,17501.0,17324.5,17157.1,16966.2,16756.2,16563.4,16393.8,16131.0,15823.8,15505.2,15171.0,14852.6,14514.7,14178.7,13887.5,13618.0,13335.1,13069.8,12757.9,15969.9710328896,16294.1734743543,17131.0762547792,17316.0813098092,17432.4286378551,17625.1092219441,17725.5648371679,17779.2415484013,17809.3299271681,17761.9941465256,17651.1339408173,17500.99504166,17324.5163362678,17157.0595360596,16966.2373320344,16756.2188723832,16563.3733016956,16393.802172976,16130.9608574577,15823.8042922686,15505.1830691944,15171.0048631047,14852.6383231713,14514.7389824668,14178.6789916673,13887.5214252902,13617.977148488,13335.070021784,13069.7736763316,12757.8589470661
1. Energy,WEM,ETS,11241.2,11486.2,11731.2,11976.1,12221.1,11994.3,11767.4,11540.6,11313.7,11086.9,11049.0,11011.1,10973.1,10935.2,10897.3,10923.4,10949.4,10975.5,11001.6,11027.6,11012.6,10997.6,10982.5,10967.5,10952.5,10945.5,10938.5,10931.5,10924.6,10917.6,11241.2129241298,11486.1847262942,11731.1565284587,11976.1283306231,12221.1001327875,11994.2586059569,11767.4170791263,11540.5755522956,11313.734025465,11086.8924986344,11048.9778423211,11011.0631860079,10973.1485296946,10935.2338733813,10897.3192170681,10923.3772318902,10949.4352467123,10975.4932615343,11001.5512763564,11027.6092911785,11012.5802041736,10997.5511171686,10982.5220301636,10967.4929431586,10952.4638561537,10945.4912945112,10938.5187328688,10931.5461712263,10924.5736095839,10917.6010479414
1. Energy,WEM,Total,27212.1,27781.4,28863.3,29293.4,29654.8,29620.6,29494.3,29321.1,29124.4,28850.2,28701.5,28513.4,28299.0,28093.6,27864.9,27680.9,27514.1,27370.6,27133.8,26852.7,26519.1,26169.9,25836.5,25483.6,25132.5,24834.4,24557.9,24268.0,23995.7,23676.8,27212.1371850816,27781.3847775262,28863.3327089309,29293.3829149408,29654.7753939665,29620.6328746846,29494.2653865375,29321.1189943999,29124.3842697958,28850.2253857824,28701.4500414982,28513.396003765,28299.0021597969,28093.6302210128,27864.8928784116,27680.9324387129,27514.1448879779,27370.6317792109,27133.8484836451,26852.7499384085,26519.0996231989,26169.8923249738,25836.496692905,25483.5682600651,25132.4791771301,24834.3581286003,24557.8503706455,24267.9797617887,23995.7199351836,23676.8417237655
1.A.1. Energy industries,WAM,ESR,530.1,585.6,641.2,696.7,752.3,681.4,623.9,566.6,509.3,452.0,449.1,446.1,443.2,440.2,437.3,441.4,445.5,449.6,453.7,457.9,450.3,442.7,435.1,427.6,420.0,421.9,423.8,425.7,427.6,429.6,530.104888071181,585.646305869367,641.187723667554,696.729141465739,752.270559263928,681.365218932491,623.862086444751,566.589389608733,509.316692772716,452.0439959367,449.087361144166,446.130726351632,443.174091559098,440.217456766565,437.260821974032,441.381554459238,445.502286944444,449.62301942965,453.743751914856,457.864484400061,450.290005953042,442.715527506024,435.141049059004,427.566570611985,419.992092164966,421.905258133003,423.81842410104,425.731590069077,427.644756037114,429.557922005151
1.A.1. Energy industries,WAM,ETS,5858.8,5746.9,5635.0,5523.2,5411.3,4462.1,3499.4,3304.7,3110.0,2915.3,2846.0,2776.8,2707.6,2638.3,2569.1,2600.4,2631.7,2662.9,2694.2,2725.5,2805.9,2886.4,2966.8,3047.2,3127.7,3076.9,3026.1,2975.3,2924.5,2873.7,5858.79739424086,5746.92056048173,5635.04372672259,5523.16689296345,5411.29005920432,4462.05783264176,3499.42339823551,3304.70091537062,3109.97843250574,2915.25594964085,2846.0250875329,2776.79422542494,2707.56336331698,2638.33250120902,2569.10163910106,2600.37987508071,2631.65811106036,2662.93634704001,2694.21458301965,2725.4928189993,2805.92641428893,2886.36000957856,2966.79360486819,3047.22720015781,3127.66079544744,3076.87533901394,3026.08988258045,2975.30442614695,2924.51896971345,2873.73351327996
1.A.1. Energy industries,WAM,Total,6388.9,6332.6,6276.2,6219.9,6163.6,5143.4,4123.3,3871.3,3619.3,3367.3,3295.1,3222.9,3150.7,3078.5,3006.4,3041.8,3077.2,3112.6,3148.0,3183.4,3256.2,3329.1,3401.9,3474.8,3547.7,3498.8,3449.9,3401.0,3352.2,3303.3,6388.90228231204,6332.56686635109,6276.23145039014,6219.89603442919,6163.56061846825,5143.42305157425,4123.28548468026,3871.29030497935,3619.29512527845,3367.29994557755,3295.11244867706,3222.92495177657,3150.73745487608,3078.54995797559,3006.3624610751,3041.76142953995,3077.1603980048,3112.55936646966,3147.95833493451,3183.35730339936,3256.21642024197,3329.07553708458,3401.93465392719,3474.7937707698,3547.65288761241,3498.78059714695,3449.90830668149,3401.03601621603,3352.16372575057,3303.29143528511
1.A.1. Energy industries,WEM,ESR,530.7,586.9,643.1,699.3,755.5,750.2,745.0,739.8,734.5,729.3,727.8,726.4,725.0,723.5,722.1,723.0,723.9,724.7,725.6,726.5,726.8,727.0,727.3,727.6,727.9,727.0,726.2,725.4,724.6,723.7,530.74861899876,586.933767724526,643.118916450292,699.304065176058,755.489213901827,750.246276462837,745.003339023849,739.76040158486,734.517464145871,729.274526706882,727.837773855839,726.401021004796,724.964268153753,723.52751530271,722.090762451669,722.97279715118,723.854831850694,724.736866550205,725.618901249719,726.500935949229,726.771656599783,727.042377250336,727.313097900888,727.583818551441,727.854539201997,727.029807058337,726.205074914678,725.38034277102,724.555610627361,723.730878483701
