Pollutant_name,Sector_name,Sector_code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
As,Adipic acid production,2B3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
As,Agriculture other,3I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Agriculture/Forestry/Fishing: Off-road vehicles and other machinery,1A4cii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Agriculture/Forestry/Fishing: Stationary,1A4ci,0.006752,0.004936,0.003004,0.002613,0.002027,0.002021,0.001632,0.000982,0.000629,0.000683,0.000373,0.000491,0.000326,0.000567,0.000413,0.000771,0.000749,0.001141,0.001007,0.000713,0.000702,0.00155,0.001647,0.000845,0.00089,0.000935,0.00075,0.000883,0.001236,0.000758,0.000627,0.0008604861066609
As,Aluminium production,2C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Ammonia production,2B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Animal manure applied to soils,3Da2a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Asphalt roofing,2D3c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Biological treatment of waste - Composting,5B1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Biological treatment of waste - Solid waste disposal on land,5A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Carbide production,2B5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Cement production,2A1,0.000191,0.000163,8e-05,6e-05,7e-05,7.7e-05,6.8e-05,6.6e-05,6.9e-05,7e-05,6.9e-05,7.3e-05,7.5e-05,8.3e-05,9.7e-05,0.000118,0.00016,0.000107,0.000116,6.1e-05,4.4e-05,4.7e-05,4.4e-05,4.4e-05,4.5e-05,5.8e-05,6.2e-05,6.6e-05,6.2e-05,6e-05,4.9e-05,5.27152664305e-05
As,Chemical industry: Other,2B10a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Chemical products,2D3g,9.3015e-09,9.3015e-09,9.3015e-09,9.3015e-09,1.0095e-08,8.72e-09,6.726e-09,4.985e-09,1.988e-09,2.7785e-09,6.370571428571431e-09,6.370571428571431e-09,6.370571428571431e-09,6.370571428571431e-09,8.04175142857143e-09,8.04175142857143e-09,8.04175142857143e-09,8.04175142857143e-09,1.7135e-09,1.77175e-09,1.83e-09,3.01792e-09,4.05634e-09,4.628e-09,1.18515e-08,1.2607e-08,1.2003e-08,8.1285e-09,0.0,0.0,0.0,9.3015e-09
As,Clinical waste incineration,5C1biii,0.0001682231609048,0.0001682231609048,0.0001682231609048,0.0001682231609048,0.0001687743055864,0.0001707394776581,0.0001707384589063,0.0001706396399893,0.000170615189948,0.000174810409539,0.000177155576003,0.0001742786211402,0.0001745363653258,0.0002424874484102,0.0002684439048995,0.0002818888,0.0002520022,0.0001375658,0.0001854326,0.0001694866,0.0001626293,0.0001710102,0.0001147199,8.92126e-05,7.44336e-05,7.50655e-05,7.15075e-05,7.87999e-05,6.26137e-05,5.42287e-05,0.0001170885,0.0003181315
As,Coating applications,2D3d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Commercial/institutional: Mobile,1A4aii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Commercial/institutional: Stationary,1A4ai,0.043946296,0.011560792,0.004608776,0.005289672,0.012857072,0.004461316,0.0048482693333333,0.003729628,0.005076288,0.0082153746666666,0.004510228,0.007752188,0.005485,0.0039353266666666,0.002463076,0.002745624,0.004189042,0.002936356,0.003981128,0.003894956,0.002878974,0.002526504,0.002375062,0.002071708,0.0014709532,0.0028892236,0.0027507805999999,0.00267741788,0.00231920861,0.00263436694,0.00226310657,0.0025186185075187
As,Construction and demolition,2A5b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Consumption of POPs and heavy metals (e.g. electrical and scientific equipment),2K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Copper production,2C7a,2.320896,1.794192,1.354073,0.997528,1.198492,1.398512,2.089892,2.222979,2.120301,1.86135,0.840759,0.798016,1.329166,1.506253,1.611801,1.710259,1.701364,1.224421,0.225506,0.0,0.204723,0.114418,0.111253,0.131595,0.129377,0.128999,0.111011,0.139589,0.134995,0.117841,0.126894,0.0439434464
As,Cremation,5C1bv,6.1245e-05,6.1245e-05,6.1245e-05,6.1245e-05,6.1245e-05,6.1245e-05,6.1245e-05,6.1245e-05,6.1245e-05,6.1245e-05,6.1245e-05,6.1245e-05,6.1245e-05,6.1245e-05,6.651207e-05,7.44467e-05,7.391591e-05,7.818945e-05,8.096589e-05,8.00268e-05,8.31571e-05,8.880525e-05,9.710735e-05,9.682154e-05,0.00010690655,0.00011218723,0.00012372851,0.00015469126,0.00014506899,0.00015822986,0.00018924705,0.00025281936
As,Crop residues applied to soils,3Da4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Cultivated crops,3De,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Degreasing,2D3e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Distribution of oil products,1B2av,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Domestic solvent use including fungicides,2D3a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Domestic wastewater handling,5D1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Dry cleaning,2D3f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,"Farm-level agricultural operations including storage, handling and transport of agricultural products",3Dc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Ferroalloys production,2C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
