Pollutant_name,Sector_name,Sector_code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
As,Agriculture/Forestry/Fishing: National fishing,1A4ciii,0.025839183,0.027590031,0.029963891,0.029917483,0.02902323,0.030541923,0.026337021,0.023956184,0.022524623,0.022836663,0.026517327,0.026209843,0.02563726,0.024550101,0.024018407,0.023709879,0.021870525,0.021669261,0.013257273,0.015459108,0.015295978,0.013810238,0.013546006,0.012159647,0.022658612,0.019767004,0.019488796,0.015560047,0.013449311,0.012273514,0.010703623,0.010725105
As,Agriculture/Forestry/Fishing: Stationary,1A4ci,0.003629724,0.004145111,0.004926779,0.004746189,0.004825866,0.004033146,0.002981086,0.001978205,0.002423464,0.004377544,0.004399131,0.003214362,0.003447823,0.005495766,0.005302965,0.003983966,0.005092743,0.004964866,0.004189464,0.002961054,0.00309799,0.004572648,0.005475521,0.00565391,0.005695668,0.004013539,0.003482923,0.003638419,0.003608756,0.004250564,0.004068047,0.004130406
As,Ammonia production,2B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Animal manure applied to soils,3Da2a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Asphalt roofing,2D3c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Biological treatment of waste - Anaerobic digestion at biogas facilities,5B2,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Biological treatment of waste - Composting,5B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Biological treatment of waste - Solid waste disposal on land,5A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Chemical products,2D3g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Clinical waste incineration,5C1biii,1.3383e-05,1.2584e-05,1.178e-05,1.0733e-05,9.951e-06,9.02e-06,6.641e-06,6.022e-06,5.453e-06,4.884e-06,4.316e-06,3.748e-06,3.179e-06,2.611e-06,2.042e-06,1.471e-06,,,,,,,,,,,,,,,,
As,Coating applications,2D3d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
