Pollutant_name,Sector_name,Sector_code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
As,Agriculture/Forestry/Fishing: National fishing,1A4ciii,0.0022248131867646,0.0021541165882208,0.0020964442047957,0.0020509489878536,0.0020169869613976,0.001994102521218,0.00198201874752,0.0019804344,0.001909824,0.0018338712,0.0017729712,0.0016880808,0.001718388,0.0017174472,0.0015654912,0.0014825496,0.0015763813,0.0015250729,0.0014931995,0.0014600079,0.0014313286,0.0014061138,0.0014243827,0.0015011594,0.0014110486,0.0013224419,0.00120634764,0.00116541492,0.00114209628,0.00131119812,0.00124904844,0.0012779841947187
As,Agriculture/Forestry/Fishing: Off-road vehicles and other machinery,1A4cii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Agriculture/Forestry/Fishing: Stationary,1A4ci,0.0516762372,0.05126667,0.050924548,0.0499428516,0.049570624,0.054726833,0.0552442031748,0.05591559,0.0621956,0.0621561282,0.073926161,0.0817424605,0.090561480995,0.09815666,0.10583982,0.096910832,0.09563557,0.1125479613,0.130431355626,0.15176623261,0.183175730089,0.15005311072,0.168700195,0.156099,0.14689640126004,0.134132,0.158815,0.1658578,0.17542407735,0.17339474,0.112749777,0.104035815
As,Aluminium production,2C3,0.008,0.008,0.008,0.008,0.004,0.005,0.01,0.00611,0.0013,0.0001,0.0001,0.0002,0.0002,0.0003,0.000205,0.000205,0.00011,8e-05,5e-05,0.00016,0.00016,0.00027,0.00025,0.00035,5e-05,0.00032,0.00042,0.00096,0.00026,6e-05,6e-05,6e-05
As,Ammonia production,2B1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As,Animal manure applied to soils,3Da2a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Asphalt roofing,2D3c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Biological treatment of waste - Anaerobic digestion at biogas facilities,5B2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Biological treatment of waste - Composting,5B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Biological treatment of waste - Solid waste disposal on land,5A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Cement production,2A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Chemical industry: Other,2B10a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Chemical products,2D3g,1.81e-08,1.735e-08,1.685e-08,1.64e-08,1.6e-08,1.565e-08,1.535e-08,1.51e-08,1.49e-08,1.475e-08,1.465e-08,1.46e-08,1.455e-08,1.3975e-08,1.2925e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Clinical waste incineration,5C1biii,8e-06,8e-06,8e-06,9e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As,Coating applications,2D3d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Commercial/institutional: Mobile,1A4aii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Commercial/institutional: Stationary,1A4ai,0.03265370898,0.02775467032,0.02788423752,0.022029776,0.01608565,0.011307389,0.01266047,0.0150400026,0.012797337,0.012590779,0.011375416,0.01202469,0.012176384,0.01218384878,0.014075098966,0.0138843228,0.014054094462,0.0139839959,0.0147639468,0.01615408,0.017633985556,0.0150539844,0.016504052604,0.01599392,0.0160339844,0.01471396,0.01618496,0.016131052,0.016189,0.014283,0.01286,0.01535617
As,Construction and demolition,2A5b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Copper production,2C7a,0.113,0.363,0.383,0.0423,0.0663,0.0703,0.04215,0.014,0.0263,0.0854,0.1439,0.036874896064112,0.0549497921282241,0.06715,0.0453170523235141,0.0524630099500333,0.0125016704625163,0.1392,0.125183550526212,0.014128296657979,0.0069521757777704,0.0115256595515379,0.010685326559115,0.0139834240594724,0.0857806044010425,0.0611807473634434,0.0598912620280866,0.04781,0.08241,0.08081,0.05623,0.02305
As,Cremation,5C1bv,0.00010355598576,0.00010566538605,0.00011052681,0.00012229946,0.00012470843,0.00013302414,0.00014730103,0.00014939697,0.00016106074,0.00016966226,0.00017807324,0.00018225151,0.00019535794,0.00020206767,0.00021106388,0.00021922988,0.00022400699,0.00024220356,0.00024768839,0.00026622521,0.00028673548,0.0002931594,0.00030823928,0.00032258422,0.00033782742,0.00034883791,0.00037404363,0.00038565296,0.0004021755,0.00041827613,0.00045247806,0.00047445821
As,Crop residues applied to soils,3Da4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
