Pollutant_name,Sector_name,Sector_code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
As,Agriculture/Forestry/Fishing: Stationary,1A4ci,0.0009331413,0.0008714483,0.0025072784,0.0029903999,0.0013092637,0.0014550572,0.0023460307,0.0016512409,0.0010365115,0.0020974015,0.0014226828,0.0006342182,0.0005418103,0.0006834847,0.0004742983,0.0004934988,0.0004774642,0.0004693243,0.0005286437,0.0004903957,0.0004840703,0.0004816903,0.0004485135,0.0004332055,0.0003655405,0.000367142,0.0003760275,0.0003545255,0.0003455844,0.0003054172,0.0003422409,0.0003422409
As,Ammonia production,2B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Animal manure applied to soils,3Da2a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Asphalt roofing,2D3c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Biological treatment of waste - Anaerobic digestion at biogas facilities,5B2,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Biological treatment of waste - Composting,5B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Biological treatment of waste - Solid waste disposal on land,5A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Chemical products,2D3g,,,,,,,,,,,,,,5.5704e-06,4.50187e-05,2.675915e-05,4.55659e-05,4.108785e-05,4.722185e-05,4.79207e-05,2.88229e-05,2.402285e-05,1.4644e-05,1.960795e-05,1.43555e-06,,,,,,,
As,Clinical waste incineration,5C1biii,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.83e-05,3.1116e-05,3.169e-05,3.2528e-05,3.464e-05,3.514e-05,3.7512e-05,4.0977e-05,3.3e-05,3.7034e-05,1.088e-05,1.149e-05,1.862e-05,9.6e-06,1.0215e-05,1.0358e-05,1.1136e-05,,,,,
As,Coating applications,2D3d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
