Pollutant_name,Sector_name,Sector_code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
As,Agriculture/Forestry/Fishing: National fishing,1A4ciii,0.000765828,0.000791487,0.000812489,0.000834151,0.000795462,0.000925791,0.000902885,0.000954762,0.000815186,0.000847406,0.00079605,0.00072584,0.000571315,0.000540499,0.000515,0.000516864,0.000503293,0.000468772,0.00050578,0.000546291,0.000442104,0.000244067,0.000171953,0.000247427,0.000358128,0.000213004,0.000278988,5.7583e-05,6.813e-05,9.4835e-05,8.3259e-05,9.1128e-05
As,Agriculture/Forestry/Fishing: Off-road vehicles and other machinery,1A4cii,1.8698e-05,1.8104e-05,1.786e-05,1.785e-05,1.7958e-05,1.8886e-05,1.7589e-05,1.7464e-05,1.7456e-05,1.8736e-05,1.8961e-05,1.8718e-05,1.8007e-05,1.8115e-05,1.7405e-05,1.8216e-05,1.8005e-05,1.809e-05,1.818e-05,1.7792e-05,1.8809e-05,1.9299e-05,1.9048e-05,1.9972e-05,2.1662e-05,2.1791e-05,2.0669e-05,2.0378e-05,2.3086e-05,2.213e-05,2.305e-05,2.3596e-05
As,Agriculture/Forestry/Fishing: Stationary,1A4ci,0.015483228,0.017590222,0.017168536,0.017992933,0.016763237,0.016748276,0.018586587,0.015772853,0.015620386,0.015034616,0.015334174,0.014924974,0.013930835,0.014117873,0.014568649,0.015256974,0.01390138,0.014906179,0.01654918,0.016505467,0.019780043,0.01753226,0.017524017,0.017055396,0.014560593,0.015174044,0.015088298,0.015264162,0.015806597,0.015687797,0.015051127,0.015799345
As,Aluminium production,2C3,0.004568,0.0222304,0.0398928,0.0575552,0.0752176,0.09288,0.154586667,0.216293333,0.278,0.34304,0.40808,0.301898,0.253,0.313,0.076675,0.038168,0.029247,0.037027,0.071084,0.022,0.025,0.025,0.0055,0.002038268,0.002149043,0.002159114,0.002173212,0.002224857,0.002183127,0.026130416,0.001981067,0.002183127
As,Animal manure applied to soils,3Da2a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Biological treatment of waste - Anaerobic digestion at biogas facilities,5B2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Biological treatment of waste - Composting,5B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Biological treatment of waste - Solid waste disposal on land,5A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Cement production,2A1,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Chemical industry: Other,2B10a,1.9432e-05,0.000851842,0.001684253,0.002516663,0.003349073,0.004181483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000172,0.005,0.006118,0.000258,0.000258,0.000258,0.000258,0.000258,0.00025026,0.000258,0.000258,0.000258,0.000258,0.000258,0.000258,0.000259449,0.000250753,0.00025027,0.00026058
As,Chemical products,2D3g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Coating applications,2D3d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
