Pollutant_name,Sector_name,Sector_code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
As,Agriculture other (please specify in the IIR),3I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Agriculture/Forestry/Fishing: National fishing,1A4ciii,0.0131909854,0.0124437241,0.0133466551,0.0137151854,0.0139202268,0.0123015794,0.0153932465,0.0159646177,0.0157409872,0.0169184286,0.016414672,0.0168130795,0.0166279746,0.0144239902,0.0143220825,0.0136312955,0.0158085794,0.0140501828,0.013763109,0.0145117139,0.0122058977,0.0108552303,0.0107867976,0.0085823856,0.0093759403,0.0097575402,0.0103291193,0.0116288424,0.0127109178,0.0124813084,0.0139397636,0.0142063871
As,Agriculture/Forestry/Fishing: Off-road vehicles and other machinery,1A4cii,0.0056148621,0.0055450937,0.0054422964,0.005464645,0.0049335124,0.0047310472,0.0048164965,0.0046264947,0.0048996786,0.0047339856,0.0046314523,0.0053433554,0.0047927322,0.0048839557,0.0050306376,0.0054169052,0.0054913747,0.0055748075,0.0054889605,0.005561078,0.0060242213,0.0061133917,0.0061752687,0.006008646,0.0055274247,0.0055619978,0.0056026769,0.0057078734,0.0056782248,0.0055779406,0.0056434627,0.0059408102
As,Agriculture/Forestry/Fishing: Stationary,1A4ci,0.0038915191,0.0035279739,0.0044114684,0.0028830769,0.0027113813,0.0026324174,0.0041157939,0.0032501315,0.0039799445,0.0030359639,0.0014094627,0.0014055765,0.0021182052,0.0030031617,0.0030375626,0.0021265047,0.0027888046,0.0024991026,0.0016376361,0.0005416727,0.0004615548,0.0002963588,0.0002929956,0.0002970959,0.0002027219,0.0001473755,0.0001663264,0.0001862314,0.0001387413,0.0001223034,0.0001197403,0.0001442756
As,Aluminium production,2C3,0.4199,0.418,0.40848,0.41151,0.39878,0.37739,0.38859,0.42596,0.44849,0.46884,0.47977,0.483903,0.437888,0.452868,0.411546,0.470115,0.419458,0.322308,0.173495,0.129571,0.1847,0.128584,0.15952,0.154969,0.173885,0.184642,0.168367,0.114596,0.201913,0.25048,0.18495,0.21778
As,Ammonia production,2B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Animal manure applied to soils,3Da2a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Asphalt roofing,2D3c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Biological treatment of waste - Anaerobic digestion at biogas facilities,5B2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Biological treatment of waste - Composting,5B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
