Pollutant_name,Sector_name,Sector_code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
As,Adipic acid production,2B3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
As,Agriculture other,3I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Agriculture/Forestry/Fishing: Off-road vehicles and other machinery,1A4cii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Agriculture/Forestry/Fishing: Stationary,1A4ci,0.006142,0.0035082,0.00454339,0.00392828,0.00266391,0.00326354,0.00246562,0.00285299,0.00266987,0.00144436,0.00119803,0.00084859,0.0012603,0.00137948,0.00101325,0.00125016684,0.00184416,0.00176317754,0.00247359703,0.00280321886,0.00263648901,0.00277079993,0.00170858813,0.00297687595,0.00250783425,0.00284310662,0.00314001117,0.00375970791,0.00457461336,0.004505841012,0.004750599815,0.005105931893
As,Ammonia production,2B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Animal manure applied to soils,3Da2a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Asphalt roofing,2D3c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Biological treatment of waste - Anaerobic digestion at biogas facilities,5B2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Biological treatment of waste - Composting,5B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Biological treatment of waste - Solid waste disposal on land,5A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Chemical products,2D3g,0.000207,0.0001895,0.0001835,0.0001595,0.00017,0.0001735,0.000175,0.0001525,0.0001207335,0.0001022255,0.0001283035,9.1862e-05,8.44705e-05,0.0001020295,0.000101694,7.86085e-05,0.000121002,8e-05,0.000120125,8.07515e-05,3.91265e-05,2.7e-05,2.251e-05,2.30695e-05,3.0658e-05,4.04485e-05,4.5425e-05,4.8187e-05,5.0873e-05,5.99025e-05,6.1315e-05,4.66365e-05
As,Clinical waste incineration,5C1biii,2.19627387654031e-06,2.22242272648587e-06,2.23729801442386e-06,2.26884131938191e-06,2.30819777225384e-06,2.32275455538438e-06,2.351e-06,2.633e-06,3.63e-06,1.014914e-05,1.5031e-05,1.9059e-05,1.70265888e-05,1.879218e-05,1.702641e-05,1.355114e-05,1.261145e-05,9.9968e-06,6.442e-06,4.79e-06,5.46156e-06,5.13184e-06,5.811e-06,5.941e-06,6.525e-06,7.352e-06,8.02e-06,9.33e-06,9.87265e-06,1.072889e-05,1.3375e-05,1.7779e-05
As,Coating applications,2D3d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Commercial/institutional: Mobile,1A4aii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Commercial/institutional: Stationary,1A4ai,,0.00133247,0.00155836,0.00129443,0.00153254,0.00172132,0.00212955,0.00155632,0.00248983,0.002559,0.00184918,0.00449314,0.00240193,0.00380243,0.00442516,0.00519491,0.00931269,0.00640191,0.00463195,0.0053399,0.00518918,0.004425,0.00397236,0.00412453,0.00488803,0.00518018,0.00535678,0.00538637172,0.005371070829,0.005288263954,0.004788156046,0.004866931067
As,Construction and demolition,2A5b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,Consumption of POPs and heavy metals (e.g. electrical and scientific equipment),2K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
