Pollutant_name,Sector_name,Sector_code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
As,National total for compliance calculations and checks (CLRTAP),COMPLIANCE TOTAL (CLRTAP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,National total for the entire territory (based on fuel sold),NATIONAL TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BC,National total for compliance calculations and checks (CLRTAP),COMPLIANCE TOTAL (CLRTAP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BC,National total for the entire territory (based on fuel sold),NATIONAL TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,National total for compliance calculations and checks (CLRTAP),COMPLIANCE TOTAL (CLRTAP),2022.28568455753,2059.00645254795,2090.52407638501,2055.4811248403,6068.19901185275,5748.35369738024,6275.28046758178,7330.35663181252,8193.97051737575,2238.35969551821,7775.04673884545,7932.72467673084,5889.68943932828,4228.24133485697,3299.24150020069,2891.07506569231,2725.42799104622,3385.63036734337,3547.10866150088,3533.53378458973,3400.25180640464,2944.09967655167,2807.86840037343,2428.72181413084,2364.07403678011,2365.18203052161,2341.23116443285,2168.69762078615,1655.07589592908,1760.48999274535,1918.52513618327,1785.56831856761
CO,National total for the entire territory (based on fuel sold),NATIONAL TOTAL,2022.28568455753,2059.00645254795,2090.52407638501,2055.4811248403,6068.19901185275,5748.35369738024,6275.28046758178,7330.35663181252,8193.97051737575,2238.35969551821,7775.04673884545,7932.72467673084,5889.68943932828,4228.24133485697,3299.24150020069,2891.07506569231,2725.42799104622,3385.63036734337,3547.10866150088,3533.53378458973,3400.25180640464,2944.09967655167,2807.86840037343,2428.72181413084,2364.07403678011,2365.18203052161,2341.23116443285,2168.69762078615,1655.07589592908,1760.48999274535,1918.52513618327,1785.56831856761
CO,Agriculture other (please specify in the IIR),3I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Agriculture/Forestry/Fishing: Stationary,1A4ci,3.1788002352,3.19236,3.200988,3.942719904,3.9628404,4.043805552,4.262697912,4.418200356,4.3767548952,4.4975468952,4.8472104,4.4820164952,4.5510404952,4.7833632,5.1405624,5.185428,5.5702368,5.862682204272,7.42714324080503,7.33129239950642,4.87108243601723,4.9424806,8.13582418,9.202117,10.34279688,11.04882914,11.97233646,13.35309904,14.57397134,15.88515056,17.26633928,18.10601846
CO,Aluminium production,2C3,7.30824,6.69804,7.02972,7.02012,7.164,7.38156,7.452,7.4424,7.416,7.4046,7.38012,7.4076,7.50012,7.56,7.68,7.08,7.2,7.608,7.332,3.6,6.492,6.768,5.244,3.864,3.648,7.2,9.456,9.12,9.12,9.12,9.4,9.372
CO,Ammonia production,2B1,0.044592,0.0423788,0.0404656,0.0639455,0.0503264,0.058564,0.0604758,0.0624022,0.0356661,0.010025,0.0065006,0.008164,0.0365648,0.0351964,0.0400784,0.037058,0.0111515,0.0324446880621423,0.0297403327882257,0.0307061739574816,0.0283313409648406,0.0324219623875715,0.0335203699918234,0.0334446177432543,0.035300547833197,0.0378761242845462,0.0354141762060507,0.0382927616516762,0.0410955948487326,0.0426863920686836,0.04386055,0.051
CO,Animal manure applied to soils,3Da2a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Asphalt roofing,2D3c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Biological treatment of waste - Anaerobic digestion at biogas facilities,5B2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Biological treatment of waste - Solid waste disposal on land,5A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Carbide production,2B5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Chemical industry: Other  (please specify in the IIR),2B10a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Chemical products,2D3g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Clinical waste incineration,5C1biii,0.001440724058083,0.001465163045643,0.0014894974813846,0.0015137273653077,0.001537878835367,0.0015618996156532,0.0015858158441211,0.0016096275207704,0.0016326811967361,0.0016562053558848,0.0016794158595782,0.00115957,0.0015599,0.00262447,0.00221008,0.00176776,0.00123006,0.002021125,0.00281219,0.001929545,0.00104462,0.001068085,0.00109155,0.0012597,0.00142785,0.0019095,0.002394,0.002394,0.01558,0.01558,0.0172748,0.0172748
CO,Coating applications,2D3d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Construction and demolition,2A5b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Consumption of POPs and heavy metals (e.g. electrical and scientific equipment),2K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
