freq,wst_oper,unit,geo\TIME_PERIOD	2010 	2012 	2014 	2016 	2018 	2020 
A,DSP_I,KG_HAB,AT	196 	8 	: c	: c	: c	: c
A,DSP_I,KG_HAB,BE	181 	243 	147 	177 	152 	50 
A,DSP_I,KG_HAB,BG	0 	1 	3 	2 	1 	: 
A,DSP_I,KG_HAB,CY	8 	8 	0 	0 	0 	0 
A,DSP_I,KG_HAB,CZ	5 	7 	7 	7 	9 b	-4 
A,DSP_I,KG_HAB,DE	152 s	134 s	100 s	: c	23 s	24 s
A,DSP_I,KG_HAB,DK	0 	1 	1 	1 	2 	1 
A,DSP_I,KG_HAB,EE	0 	0 	0 	0 	: 	: 
A,DSP_I,KG_HAB,EL	: 	: 	: 	: 	1 	: 
A,DSP_I,KG_HAB,ES	3 	0 	0 	0 	3 	2 
A,DSP_I,KG_HAB,EU27_2020	80 	67 	57 	36 	31 	21 
A,DSP_I,KG_HAB,FI	68 	81 	89 	10 	18 	25 
A,DSP_I,KG_HAB,FR	117 	109 	89 	72 	61 	59 
A,DSP_I,KG_HAB,HR	6 	0 	0 	3 	2 	0 
A,DSP_I,KG_HAB,HU	8 	9 	9 	8 	8 	9 
A,DSP_I,KG_HAB,IE	8 	2 	3 	5 s	3 	: 
A,DSP_I,KG_HAB,IT	104 s	100 s	112 s	63 s	67 s	17 s
A,DSP_I,KG_HAB,LT	1 	2 	1 	1 	1 	: 
A,DSP_I,KG_HAB,LU	243 	251 	0 	8 	5 	7 
A,DSP_I,KG_HAB,LV	: 	: 	: 	: 	0 	0 
A,DSP_I,KG_HAB,MT	21 	16 	16 	13 	12 	18 
A,DSP_I,KG_HAB,NL	247 	95 	67 	67 	56 	63 
A,DSP_I,KG_HAB,PL	9 	9 	18 	15 	17 	7 
A,DSP_I,KG_HAB,PT	2 	3 	2 	2 	2 	3 
A,DSP_I,KG_HAB,RO	6 d	9 d	3 d	5 d	4 d	4 d
A,DSP_I,KG_HAB,SE	9 	5 	10 	20 	13 	: 
A,DSP_I,KG_HAB,SI	17 	18 	19 	20 	32 	26 
A,DSP_I,KG_HAB,SK	12 d	13 d	11 d	7 d	7 d	2 d
A,DSP_I,KG_HAB,UK	91 	93 	117 	87 	: 	: 
A,DSP_I,PC,AT	16 	1 	: c	: c	: c	: c
A,DSP_I,PC,BE	7 	7 	4 	5 	4 	1 
A,DSP_I,PC,BG	0 	0 	0 	0 	0 	: 
A,DSP_I,PC,CY	1 	1 	0 	0 	0 	0 
A,DSP_I,PC,CZ	0 	1 	1 	1 	1 b	0 
A,DSP_I,PC,DE	9 s	8 s	6 s	: c	1 s	1 s
A,DSP_I,PC,DK	0 	0 	0 	0 	0 	0 
A,DSP_I,PC,EE	0 	0 	0 	0 	: 	: 
A,DSP_I,PC,EL	: 	: 	: 	: 	0 	: 
A,DSP_I,PC,ES	0 	0 	0 	0 	0 	0 
A,DSP_I,PC,EU27_2020	5 	4 	4 	2 	2 	1 
A,DSP_I,PC,FI	2 	2 	4 	1 	1 	1 
A,DSP_I,PC,FR	9 	9 	7 	6 	5 	5 
A,DSP_I,PC,HR	1 	0 	0 	0 	0 	0 
A,DSP_I,PC,HU	1 	1 	1 	1 	1 	1 
A,DSP_I,PC,IE	1 	0 	0 	1 s	0 	: 
A,DSP_I,PC,IT	8 s	8 s	9 s	5 s	5 s	1 s
A,DSP_I,PC,LT	0 	0 	0 	0 	0 	: 
A,DSP_I,PC,LU	7 	12 	0 	0 	0 	0 
A,DSP_I,PC,LV	: 	: 	: 	: 	0 	0 
A,DSP_I,PC,MT	3 	2 	2 	1 	1 	2 
A,DSP_I,PC,NL	10 	4 	2 	3 	3 	2 
A,DSP_I,PC,PL	1 	0 	1 	1 	1 	1 
A,DSP_I,PC,PT	0 	0 	0 	0 	0 	0 
A,DSP_I,PC,RO	1 d	1 d	0 d	1 d	0 d	0 d
A,DSP_I,PC,SE	1 	0 	1 	1 	1 	: 
A,DSP_I,PC,SI	1 	1 	2 	2 	2 	2 
A,DSP_I,PC,SK	1 d	1 d	1 d	1 d	1 d	0 d
A,DSP_I,PC,UK	7 	7 	10 	7 	: 	: 
A,DSP_I,T,AT	1642514 	70875 	: c	: c	: c	: c
A,DSP_I,T,BE	1970810 	2702775 	1650627 	2007737 	1740553 	577864 
A,DSP_I,T,BG	2020 	5728 	18556 	10880 	5723 	: 
A,DSP_I,T,CY	6856 	6702 	20 	193 	20 	17 
A,DSP_I,T,CZ	54352 	72141 	76829 	78415 	94085 b	-44519 
A,DSP_I,T,DE	12398518 s	10780136 s	8109092 s	: c	1898306 s	1982989 s
A,DSP_I,T,DK	0 	2873 	7766 	3200 	12040 	7100 
A,DSP_I,T,EE	43 	54 	4 	236 	: 	: 
A,DSP_I,T,EL	: 	: 	: 	: 	7004 	: 
A,DSP_I,T,ES	156212 	9250 	8387 	14370 	154261 	110923 
