country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AL,NA ,NA ,50.7,35.6,32.1,37,54.9,65.7,59.3,77.9,70.8,69.9
AT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BE,40.5,52.4,47.6,69.1,76.2,90.5,95.2,97.6,97.6,95.1,92.7,85.4
BG,50.6,61.8,65.6,72.2,70,63.3,45.1,53.9,67,63,89.1,92.4
CH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CY,99.1,100,100,100,99.1,99.1,97.4,99.1,99.1,100,93.3,99.2
CZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE,75.3,79.5,79,78.8,76.3,80.4,82.8,85.5,86.6,83.5,84.6,86.5
DK,64.9,71.1,75.2,77.3,84.5,85.2,85.9,86.8,87.6,90.4,91.4,93.9
EE,48.2,40.7,42.3,37,40.7,51.9,51.9,55.6,51.9,48.3,53.3,43.3
EL,94.7,93.4,93.4,97.1,97.2,97.1,96,97.1,95.8,97.1,95.8,96.5
ES,84.7,86.8,87.2,85.6,87.1,88.9,90.5,92.2,93.2,93.4,94.9,92.8
EU27,81.3,83.2,85.8,85.8,87,88,87.4,88.1,88.4,88.4,88.3,88.9
EU28,81.3,82.2,85.6,85.4,85.8,87,86.3,87.1,87.3,NA ,NA ,NA 
FI,70.6,69.9,65.9,63,62.3,58.4,68.8,65.8,63.6,71.8,66.7,73.1
FR,65.1,68,75.5,78.5,78.5,79.1,80,80,81.9,79.4,77.8,77.6
HR,97.8,96.1,95.4,96.4,96.6,96.4,95.8,95.6,98.4,98.8,99.2,98.9
HU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IE,84.1,66.1,84.9,74.8,72.7,71.8,70.7,69.9,71.7,74.1,77,78.4
IT,83,86.3,89.9,90,90.4,90.8,89.9,90,88.2,88.7,88.1,89.8
LT,81.3,81.3,81.3,87.5,87.5,87.5,87.5,87.5,100,93.8,87.5,87.5
LU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LV,43.8,37.5,51.5,63.6,69.7,84.9,93.9,97,84.8,69.7,75,81.8
MT,97.7,96.6,98.9,100,97.7,98.9,98.9,98.9,97.7,96.6,96.6,94.3
NL,67.8,78,73.3,68.1,75.8,80.7,80.7,73.6,76.7,75.8,82.2,85.7
PL,80.9,73.9,75.9,60,55.4,56.2,48.5,30.8,29.4,30.7,43.5,50.8
PT,88.2,91.8,91.9,87.4,89.6,89,90.6,94.4,95.6,93.3,92.4,90.8
RO,87.8,8.2,34.7,22.5,30.6,69.4,51,57.1,77.6,71.4,85.7,91.8
SE,55,61.7,53.4,50.6,56.9,69,41.8,61.9,72.5,77.4,73.2,70.1
SI,95.2,100,100,100,100,100,100,100,95.2,95.2,95.2,95.2
SK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK,83.3,58.8,80.5,77.6,59.5,65,61.2,63.2,66.1,NA ,NA ,NA 
