country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AL,NA ,NA ,NA ,NA ,NA ,NA ,NA ,0,50,50,16.7,16.7
AT,83.5,73.7,87.6,88.7,90.2,95.1,95.1,97.3,98.5,97.7,97.7,96.9
BE,60.8,63,70.4,80.9,81.7,81.7,81.7,82.2,78.1,74,71.6,72.4
BG,25,100,75,100,100,100,25,25,25,0,100,100
CH,37.2,10.2,73.1,61,50.5,62.8,61.1,75,82.1,72,82.5,78.1
CZ,63.4,75,76.4,76.3,79.1,82.5,81.8,81.7,81,81.7,81.3,76.9
DE,90.3,89.7,92,92.2,93,92.8,93,94.1,93.7,91.1,91.5,90.9
DK,83.1,89.7,93.9,94.6,95.5,91.3,93,92.2,94,93.3,95.9,97.5
EE,92.9,88.9,85.2,85.2,85.2,81.5,74.1,77.8,74.1,74.3,80,82.9
EL,66.7,33.3,33.3,50,100,50,66.7,33.3,66.7,100,100,100
ES,44.9,46.1,50.4,49.6,51.9,50,47.9,48.3,52.3,52.2,53.1,55.9
EU27,70.5,71.6,76.7,78.4,81.1,82.1,82.2,80.9,79.1,77.7,78.2,79.3
EU28,70.4,71.5,76.6,78.3,81,82.1,82.1,80.8,79.1,NA ,NA ,NA 
FI,80.3,88.2,79.8,83,90.2,92,91.4,91.1,94.2,94.7,95.5,95.1
FR,54.1,49,67.5,70.3,72,73.2,74.3,77,75.7,74.3,72.3,73.2
HR,75,0,37.5,11.1,14.8,14.8,14.8,51.9,20,14.6,19.5,26.2
HU,55.7,56.9,53.1,63.5,68.7,70.8,70.8,72.3,70.8,69.7,60.2,63.1
IE,66.7,77.8,77.8,88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.9
IT,77.1,75.5,77.2,86.3,91.4,91.6,89.8,90.6,90,88.1,86.4,88
LT,71.4,70.4,84.4,85.4,85.4,84.7,84.7,84.2,85.1,84.6,89.4,89.5
LU,50,100,100,100,100,100,100,73.3,70.6,82.4,82.4,76.5
",LV",64.3,64.3,61.1,61.9,63.6,78.3,87,87,79.2,66.7,70.8,68
NL,44.4,65.6,68.1,70.7,74.1,73.9,72.4,72.6,73.8,73.5,72.7,73.5
PL,58,64.7,60.7,52.6,64.9,74.1,83.3,26.7,18.7,18.8,44.8,57.7
PT,62.7,62.9,59.8,52.8,63.3,69.6,76.4,78.9,76.7,74.5,75.3,65.6
RO,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,0,0,0,0
SE,76.8,74.5,64.8,62.8,69.3,75.4,79.7,86.5,86.1,81.7,78.5,81
SI,50,34.6,53.9,42.3,46.2,53.9,53.9,76.9,69.2,76.9,73.1,65.4
SK,64.7,72.7,72.7,57.6,48.5,63.6,59.4,56.3,62.5,56.3,50,59.4
UK,58.3,25,30.8,40,62.5,68.8,68.8,62.5,68.8,NA ,NA ,NA 
