country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BE,0,550,818,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
BG,24,8734,10,0,0,0,0,0,0,0,0,0,0,10,14,7,3,7,10,0,0,0,0
CY,49,30,0,0,0,0,0,0,0,0,0,0,0,39,10,30,20,10,59,39,20,10,10
CZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE,1668,85,40,0,0,0,17,170,305,0,0,153,0,130,0,0,0,0,34,0,860,11,11
DK,5689,179,1127,0,0,0,11,4762,1939,53,0,8882,0,179,0,748,21,11,21,0,32,780,2571
EE,18,51,0,0,0,0,0,0,0,0,26,11,99,201,58,106,66,110,412,120,106,15,0
EL,435,435,48,48,0,0,0,0,0,0,0,48,48,483,532,1063,580,483,1063,967,435,13532,97
ES,3635,3534,2726,0,101,2423,303,25342,505,101,7875,0,1716,909,303,16256,1817,0,27362,5856,4140,9188,6058
EU_V,21225,75836,179039,20531,1042,12341,527,45550,42036,3559,11370,11637,11228,5284,4457,29031,8680,2933,45891,13567,10907,30600,54920
FI,1300,3249,16,8,0,8,8,0,0,0,8,16,222,329,222,304,304,304,362,469,543,90,1053
FR,4157,5023,589,1974,935,0,0,14756,6962,381,1005,69,0,658,69,139,104,69,3256,277,866,139,1316
HR,56,211,6,0,0,0,0,0,0,0,6,22,6,261,117,128,122,139,328,122,233,33,11
HU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IE,598,0,43,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,256
IT,376,644,54,0,0,54,0,0,0,0,0,0,0,752,966,698,376,268,752,376,268,54,0
LT,7,5,0,0,0,3,0,0,519,0,0,0,1,25,11,8,14,51,14,11,15,10,0
LU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LV,28,25,6,3,0,0,0,0,4853,0,6,0,25,20,42,42,37,74,105,37,48,8,0
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
NL,12,3450,1018,0,6,0,0,174,6,0,6,0,0,211,0,0,0,0,19,0,0,1570,112
PL,24,12,0,0,0,0,0,0,11265,0,0,0,12,60,42,30,30,42,24,63,66,9,0
PT,519,42526,172523,18497,0,9854,173,346,173,2939,2420,2420,8989,691,1729,8816,4840,864,11582,4495,2247,4495,33018
RO,9,2001,0,0,0,0,0,0,0,0,0,0,0,6,9,21,3,0,3,0,0,0,0
SE,2621,5071,16,0,0,0,16,0,15509,0,16,16,109,312,328,624,343,499,484,733,1030,655,10407
SI,0,21,0,0,0,0,0,0,0,0,0,0,0,8,6,1,0,2,2,2,0,2,0
SK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
