Type,GEO (Labels),GEO (Codes),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MS,Austria,AT,26.01,25.61,27.26,26.84,26.80,25.90,26.25,25.46,24.77,25.52,26.35,26.24,25.77,24.67,24.50,24.00,23.23,22.89,21.93,21.89,26.35,26.24
MS,Belgium,BE,27.91,26.79,26.96,27.90,27.65,30.25,32.37,31.36,32.73,31.01,30.20,29.65,29.87,28.50,28.22,27.90,30.34,29.38,28.63,28.25,30.20,29.65
MS,Bulgaria,BG,29.52,26.74,24.10,26.11,23.57,24.34,25.79,26.00,25.82,27.99,25.13,25.09,28.05,28.31,26.23,31.26,32.76,29.68,29.79,29.54,25.13,25.09
MS,Cyprus,CY,14.65,16.08,12.79,18.91,22.18,27.68,30.14,38.25,37.05,41.58,47.38,39.14,41.16,43.57,62.50,70.48,97.64,51.85,55.27,48.84,47.38,39.14
MS,Czechia,CZ,23.11,20.78,19.69,20.02,19.60,20.17,20.43,20.70,19.22,18.66,19.62,19.16,19.25,18.64,18.61,18.15,18.66,18.32,17.98,17.67,19.62,19.16
MS,Germany,DE,25.04,25.23,24.80,24.27,24.45,24.65,23.53,22.70,24.90,23.95,24.91,23.76,23.79,24.82,25.85,26.88,27.91,27.22,27.05,26.36,24.91,23.76
MS,Denmark,DK,49.98,51.45,45.67,41.84,40.18,38.47,33.92,36.96,38.71,36.95,40.38,38.95,46.43,40.48,40.75,32.73,21.66,18.78,29.71,20.50,40.38,38.95
MS,Estonia,EE,4.12,3.11,2.51,3.61,1.75,3.12,3.65,3.31,5.41,4.60,3.55,4.27,5.62,4.63,4.38,4.52,4.56,4.17,4.83,5.03,3.55,4.27
MS,Greece,EL,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
MS,Spain,ES,53.68,54.15,54.61,55.07,56.06,55.12,52.05,61.70,51.54,49.41,47.45,53.92,53.45,53.11,52.77,52.44,52.10,56.84,51.66,48.19,47.45,53.92
MS,Finland,FI,0.59,0.42,0.32,0.45,0.36,0.43,0.50,0.57,0.42,0.24,0.27,0.24,0.37,0.70,0.79,0.60,0.41,0.34,0.35,0.22,0.27,0.24
MS,France,FR,18.34,18.61,18.12,18.72,18.37,18.17,18.23,18.94,19.56,19.59,19.78,18.63,19.77,19.32,18.89,18.17,18.07,17.97,18.52,18.29,19.78,18.63
MS,Croatia,HR,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
MS,Hungary,HU,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
MS,Ireland,IE,15.78,15.82,16.54,16.52,17.02,16.60,16.75,16.85,13.27,11.06,13.55,13.47,11.84,11.86,14.25,14.21,12.67,12.83,12.78,14.42,13.55,13.47
MS,Italy,IT,18.62,18.62,17.42,14.54,16.33,16.94,18.50,18.92,22.39,25.76,16.32,20.93,19.13,21.08,23.03,22.81,20.94,19.97,19.00,18.59,16.32,20.93
MS,Lithuania,LT,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
MS,Luxembourg,LU,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
MS,Latvia,LV,0.19,0.18,0.46,0.12,1.23,0.86,1.36,6.21,6.64,7.06,6.01,4.97,3.92,2.87,5.10,3.92,4.85,4.54,3.27,3.62,6.01,4.97
MS,Malta,MT,51.11,51.11,51.11,49.18,53.99,54.64,54.92,51.58,48.32,53.04,57.76,62.49,63.63,59.75,59.80,59.85,59.90,59.95,53.38,59.43,57.76,62.49
MS,Netherlands,NL,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
MS,Poland,PL,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
MS,Portugal,PT,24.01,20.09,24.42,26.66,18.48,18.85,22.36,20.72,18.06,18.20,23.02,18.52,20.47,17.33,14.88,16.77,19.32,18.46,18.28,17.99,23.02,18.52
MS,Romania,RO,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
MS,Sweden,SE,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
MS,Slovenia,SI,15.00,17.21,18.80,16.58,17.68,17.71,18.92,14.50,14.90,14.80,14.09,13.84,13.57,14.86,13.85,12.84,14.18,13.31,14.38,12.58,14.09,13.84
MS,Slovakia,SK,19.39,19.34,14.91,13.88,20.90,18.89,20.26,18.60,18.83,18.90,23.99,14.80,15.85,19.89,17.84,19.51,16.47,16.16,18.25,16.19,23.99,14.80
EFTA,Iceland,IS,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
EFTA,Liechtenstein,LI,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
EFTA,Norway,NO,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
EFTA,Switzerland,CH,15.72,15.72,15.71,15.50,16.69,16.37,17.09,16.50,15.86,15.80,15.69,15.26,15.13,16.14,15.23,14.76,14.70,13.92,13.91,14.27,15.69,15.26
CC,Bosnia and Herzegovina,BA,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CC,Montenegro,ME,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CC,North Macedonia,MK,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CC,Albania,AL,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CC,Serbia,RS,4.84,4.84,4.84,4.84,2.78,5.15,7.08,3.38,4.15,3.80,2.36,2.47,1.90,5.20,8.43,13.10,16.89,11.58,7.56,7.55,2.36,2.47
CC,Türkiye,TR,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CC (potential),Kosovo (under United Nations Security Council Resolution 1244/99),XK,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
