Type,GEO (Labels),GEO (Codes),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MS,Austria,AT,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
MS,Belgium,BE,0.27,0.24,0.25,0.32,0.30,0.28,0.23,0.19,0.16,0.23,0.21,0.22,0.16,0.17,0.17,0.19,0.17,0.21,0.19,0.22,0.21,0.22
MS,Bulgaria,BG,0.22,0.31,0.26,0.24,0.24,0.13,0.32,0.42,0.32,0.29,0.33,0.13,0.15,0.14,0.11,0.09,0.10,0.13,0.10,0.15,0.33,0.13
MS,Cyprus,CY,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
MS,Czechia,CZ,0.26,0.22,0.21,0.28,0.22,0.15,0.12,0.12,0.12,0.08,0.07,0.11,0.12,0.10,0.13,0.13,0.13,0.12,0.13,0.11,0.07,0.11
MS,Germany,DE,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
MS,Denmark,DK,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
MS,Estonia,EE,0.04,0.04,0.04,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.03,0.03
MS,Greece,EL,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
MS,Spain,ES,0.11,0.09,0.10,0.09,0.10,0.13,0.13,0.11,0.08,0.05,0.05,0.05,0.14,0.13,0.14,0.16,0.18,0.19,0.19,0.19,0.05,0.05
MS,Finland,FI,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.02
MS,France,FR,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
MS,Croatia,HR,0.07,0.07,0.07,0.07,0.06,0.04,0.06,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.03
MS,Hungary,HU,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
MS,Ireland,IE,0.05,0.04,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.03
MS,Italy,IT,0.03,0.02,0.05,0.05,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.05,0.06,0.07,0.05,0.04,0.04,0.04,0.04,0.04
MS,Lithuania,LT,0.12,0.09,0.14,0.09,0.07,0.13,0.15,0.05,0.08,0.09,0.05,0.05,0.04,0.07,0.05,0.08,0.06,0.09,0.12,0.11,0.05,0.05
MS,Luxembourg,LU,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
MS,Latvia,LV,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.02
MS,Malta,MT,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
MS,Netherlands,NL,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
MS,Poland,PL,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
MS,Portugal,PT,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
MS,Romania,RO,0.15,0.15,0.15,0.16,0.11,0.12,0.11,0.13,0.13,0.13,0.08,0.09,0.10,0.09,0.10,0.10,0.08,0.08,0.09,0.10,0.08,0.09
MS,Sweden,SE,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
MS,Slovenia,SI,0.05,0.05,0.04,0.04,0.03,0.04,0.05,0.05,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03
MS,Slovakia,SK,0.18,0.16,0.14,0.19,0.15,0.12,0.12,0.12,0.11,0.10,0.07,0.08,0.10,0.08,0.10,0.09,0.10,0.07,0.07,0.07,0.07,0.08
EFTA,Iceland,IS,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.03,0.01,0.01
EFTA,Liechtenstein,LI,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
EFTA,Norway,NO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01
EFTA,Switzerland,CH,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02
CC,Bosnia and Herzegovina,BA,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CC,Montenegro,ME,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CC,North Macedonia,MK,0.47,0.27,0.40,0.44,0.41,0.24,0.20,0.24,0.24,0.25,0.16,0.19,0.22,0.06,0.09,0.06,0.07,0.09,0.06,0.09,0.16,0.19
CC,Albania,AL,0.02,0.02,0.03,0.03,0.02,0.06,0.10,0.09,0.29,0.14,0.26,0.12,0.05,0.05,0.05,0.04,0.29,0.13,0.09,0.06,0.26,0.12
CC,Serbia,RS,0.08,0.08,0.08,0.09,0.07,0.08,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.06,0.07,0.08,0.07,0.07,0.06,0.07,0.08,0.07
CC,Türkiye,TR,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CC (potential),Kosovo (under United Nations Security Council Resolution 1244/99),XK,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
