Type,GEO (Labels),GEO (Codes),2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
MS,Belgium,BE,"9,325",:,"7,194","8,629","9,495","9,828","9,062","8,129","8,689","6,257","6,210","5,772","5,674","5,883","4,538","3,927"
MS,Bulgaria,BG,"19,274",:,"17,303","19,050","16,161","15,916","20,002","16,032","13,609","14,201","14,669","13,328","13,123","12,027","9,909","10,625"
MS,Czechia,CZ,"13,111",:,"8,603","9,113","10,226","11,841","11,176","10,212","10,918","9,853","9,246","8,636","9,329","10,310","6,944","6,901"
MS,Denmark,DK,"2,990",:,"2,743","2,416","2,336","2,583","3,387","1,919","1,763","2,420","1,845","1,654","1,367","2,204","1,717","1,041"
MS,Germany,DE,"66,680",:,"48,887","54,713","63,377","68,721","64,497","51,706","58,397","52,066","49,723","44,212","45,194","49,282","34,360","28,910"
MS,Estonia,EE,777,:,632,453,276,446,347,324,308,399,215,128,71,234,81,59
MS,Ireland,IE,642,:,324,832,738,"1,007",770,641,879,814,393,465,277,625,597,494
MS,Greece,EL,"15,304",:,"12,565","13,200","13,419","11,987","13,001","12,277","11,471","9,652","12,500","12,161","20,684","11,149","9,482","8,843"
MS,Spain,ES,"34,014",:,"31,420","24,579","24,474","19,188","20,907","20,385","15,811","15,441","22,196","17,514","20,143","15,113","14,738","16,982"
MS,France,FR,"38,708",:,"32,787","34,907","39,673","40,508","40,015","36,634","35,673","22,679","28,182","24,428","22,988","22,955","18,774","16,539"
MS,Croatia,HR,"6,541",:,"5,256","4,910","5,370","5,432","5,904","4,250","4,108","3,767","4,663","5,128","4,667","4,696","3,471","4,128"
MS,Italy,IT,"72,051",:,"60,778","58,897","58,400","52,244","66,464","60,436","55,114","45,690","60,982","49,620","54,665","46,877","42,668","52,303"
MS,Cyprus,CY,"1,137",:,883,963,754,793,929,"1,069",589,619,711,541,620,527,582,565
MS,Latvia,LV,"2,639",:,"1,615","2,396","1,688","2,044","1,426","1,524","1,551","1,780","1,247","1,238",899,"1,434","1,003",833
MS,Lithuania,LT,"3,225",:,"2,631","3,029","2,158","3,158","2,573","2,255","2,476","2,818","2,103","2,054","1,488","2,114","1,881","1,462"
MS,Luxembourg,LU,260,:,207,236,279,277,237,208,241,183,201,175,150,150,94,75
MS,Hungary,HU,"18,001",:,"13,051","12,956","13,493","13,700","16,361","12,506","11,577","10,761","13,026","11,293","12,614","12,165","8,665","9,502"
MS,Malta,MT,350,:,272,227,260,188,243,182,173,162,199,151,173,197,189,153
MS,Netherlands,NL,"11,978",:,"10,164","11,274","11,236","11,894","11,666","8,647","9,197","8,600","7,681","6,643","6,700","7,562","6,058","4,972"
MS,Austria,AT,"7,163",:,"5,413","5,923","5,823","6,735","6,718","5,390","5,852","4,287","4,897","3,960","4,229","5,002","3,679","3,181"
MS,Poland,PL,"42,132",:,"36,060","40,367","42,336","52,628","50,074","47,682","45,881","45,106","44,472","41,561","44,825","46,783","35,654","36,530"
MS,Portugal,PT,"9,161",:,"6,279","4,287","5,215","4,068","4,868","3,680","3,648","2,619","3,942","2,912","3,039","2,636","2,515","2,640"
MS,Romania,RO,"42,282",:,"33,103","30,289","26,377","21,919","29,334","28,350","23,034","22,040","23,998","21,591","23,470","23,151","18,472","21,556"
MS,Slovenia,SI,"2,033",:,"1,558","1,565","1,698","1,718","1,954","1,634","1,605","1,305","1,656","1,469","1,556","1,499","1,143","1,238"
MS,Slovakia,SK,"6,697",:,"5,339","5,542","5,332","5,876","6,768","5,577","5,280","4,874","5,130","4,469","5,032","4,857","3,463","3,918"
MS,Finland,FI,"1,242",:,"1,257",843,630,"1,012",953,772,371,886,229,227,98,456,168,63
MS,Sweden,SE,"3,440",:,"3,090","2,569","1,660","2,086","2,667","1,597",786,"1,641",796,735,413,900,530,370
EFTA,Iceland,IS,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
EFTA,Liechtenstein,LI,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
EFTA,Norway,NO,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
EFTA,Switzerland,CH,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CC,Bosnia and Herzegovina,BA,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CC,Montenegro,ME,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CC,North Macedonia,MK,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CC,Albania,AL,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CC,Serbia,RS,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CC,Türkiye,TR,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CC (potential),Kosovo (under United Nations Security Council Resolution 1244/99),XK,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
